index,code,name_x,county,city,full_address,long,lat,district,name_y,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
34,10403,Western Middle,Alamance,Elon,"2100 Eldon Drive, Elon, NC 27244",-79.5036285,36.1620485,,,,,,,,,,
35,10406,Woodlawn Middle,Alamance,Mebane,"3970 Mebane Rogers Road, Mebane, NC 27302",-79.3038618,36.1152028,,,,,,,,,,
40,20302,Alexander Central High,Alexander,Taylorsville,"223 School Drive, Taylorsville, NC 28681",-81.1893043,35.9167533,,,,,,,,,,
41,20303,Alexander Early College,Alexander,Taylorsville,"230 Industrial Blvd, Taylorsville, NC 28681",-81.1815586,35.910777,,,,,,,,,,
42,20304,Bethlehem Elementary,Alexander,Taylorsville,"7900 NC Hwy 127, Taylorsville, NC 28681",-81.3122655,35.8365179,,,,,,,,,,
43,20306,East Alexander Middle,Alexander,Hiddenite,"1285 White Plains Road, Hiddenite, NC 28636",-81.1199114,35.9295084,,,,,,,,,,
44,20308,Ellendale Elementary,Alexander,Taylorsville,"175 Ellendale Park Lane, Taylorsville, NC 28681",-81.2789738,35.9280489,,,,,,,,,,
45,20316,Hiddenite Elementary,Alexander,Hiddenite,"374 Sulphur Springs Road, Hiddenite, NC 28636",-81.0893554,35.9071151,,,,,,,,,,
46,20320,Stony Point Elementary,Alexander,Stony Point,"311 Stony Point School Road, Stony Point, NC 28678",-81.0468615,35.8692561,,,,,,,,,,
47,20324,Sugar Loaf Elementary,Alexander,Taylorsville,"3600 NC Hwy 16N, Taylorsville, NC 28681",-81.1915002,35.9708229,,,,,,,,,,
48,20328,Taylorsville Elementary,Alexander,Taylorsville,"100 7th Street SW, Taylorsville, NC 28681",-81.1828707,35.9203895,,,,,,,,,,
49,20330,West Alexander Middle,Alexander,Taylorsville,"85 Bulldog Lane, Taylorsville, NC 28681",-81.3134344,35.8720999,,,,,,,,,,
50,20332,Wittenburg Elementary,Alexander,Taylorsville,"7300 Church Road, Taylorsville, NC 28681",-81.2413853,35.8273613,,,,,,,,,,
52,30304,Alleghany High,Alleghany,Sparta,"404 Trojan Avenue, Sparta, NC 28675",-81.1228223,36.513866,,,,,,,,,,
53,30308,Glade Creek Elementary,Alleghany,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623",-80.979231,36.50085,,,,,,,,,,
54,30316,Piney Creek Elementary,Alleghany,Piney Creek,"559 Piney Creek Sch Road, Piney Creek, NC 28663",-81.304084,36.547357,,,,,,,,,,
55,30320,Sparta Elementary,Alleghany,Sparta,"450 N Main Street, Sparta, NC 28675",-81.1269367,36.5095717,,,,,,,,,,
57,40304,Anson Co. Early College High,Anson,Polkton,"177 Ledbetter Street, Polkton, NC 28135",-80.2114155,34.9987204,,,,,,,,,,
58,40305,Anson Academy,Anson,Wadesboro,"118 N. Ashe Street, Wadesboro, NC 28170",-80.0788573,34.9609371,,,,,,,,,,
59,40306,Anson High School,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,Anson High School,Southwest,12-Sep,N,50.7,D,Not Met,23.5,86.2
60,40308,Ansonville Elementary,Anson,Ansonville,"9104 Hwy 52 N, Ansonville, NC 28007",-80.10718,35.1051069,,,,,,,,,,
61,40309,Anson Middle,Anson,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170",-80.0882123,34.9896098,Anson County Schools,Anson Middle,Southwest,8-Jun,N,55.2,D,Not Met,35.6,
62,40311,Wadesboro Primary,Anson,Wadesboro,"1542 Hwy 52 S, Wadesboro, NC 28170",-80.0577,34.941983,Anson County Schools,Wadesboro Primary,Southwest,0K-03,Y,79.3,F,Exceeded,24.4,
63,40316,Lilesville Elementary,Anson,Lilesville,"121 Camden Street, Lilesville, NC 28091",-79.988673,34.963629,,,,,,,,,,
64,40324,Morven Elementary,Anson,Morven,"6715 Hwy 52 S, Morven, NC 28119",-80.00664,34.879199,Anson County Schools,Morven Elementary,Southwest,0K-05,Y,76.3,D,Met,38.3,
65,40328,Peachland-Polkton Elem,Anson,Peachland,"9633 Hwy 74 W, Peachland, NC 28133",-80.2303847,34.9950434,,,,,,,,,,
66,40330,Wadesboro Elementary,Anson,Wadesboro,"321 Camden Road, Wadesboro, NC 28710",-80.0790723,34.9622196,Anson County Schools,Wadesboro Elementary,Southwest,5-Apr,Y,71.9,F,Not Met,22,
68,50302,Ashe County High,Ashe,West Jefferson,"184 Campus Drive, West Jefferson, NC 28694",-81.478117,36.392264,,,,,,,,,,
69,50305,Ashe County Middle,Ashe,Warrensville,"255 Northwest Lane, Warrensville, NC 28693",-81.509979,36.462739,,,,,,,,,,
70,50310,Blue Ridge Elementary,Ashe,Warrensville,"5778 NC Hwy 88 W, Warrensville, NC 28693",-81.531441,36.4618417,,,,,,,,,,
71,50330,"Mountain View Elementary, Jefferson",Ashe,Jefferson,"2789 Hwy 221 N, Jefferson, NC 28640",-81.443943,36.433898,,,,,,,,,,
72,50335,Westwood Elementary,Ashe,West Jefferson,"4083 US Hwy 221S, West Jefferson, NC 28694",-81.4894697,36.3767529,,,,,,,,,,
74,60302,Avery County High,Avery,Newland,"401 Avery County High School Road, Newland, NC 28657",-81.91897,36.0692387,,,,,,,,,,
75,60304,Banner Elk Elementary,Avery,Banner Elk,"155 Orchard Lane, Banner Elk, NC 28604",-81.8572987,36.1488516,,,,,,,,,,
76,60310,Cranberry Middle,Avery,Elk Park,"6230 North Highway 19E, Elk Park, NC 28622",-81.965388,36.1466445,,,,,,,,,,
77,60316,Crossnore Elementary,Avery,Crossnore,"1000 Walt Clark Road, Crossnore, NC 28616",-81.9254669,36.025739,,,,,,,,,,
78,60318,Avery Middle,Avery,Newland,"102 Old Montezuma Road, Newland, NC 28657",-81.9159937,36.067157,,,,,,,,,,
79,60322,Freedom Trail Elementary,Avery,Elk Park,"6110 North US Hwy 19E, Elk Park, NC 28622",-81.965574,36.1462441,,,,,,,,,,
80,60328,Newland Elementary,Avery,Newland,"750 Linville Street, Newland, NC 28657",-81.9267812,36.0851342,,,,,,,,,,
81,60332,Riverside Elementary,Avery,Newland,"8020 US 19E Hwy South, Newland, NC 28657",-81.9663918,36.143764,,,,,,,,,,
82,60334,Blue Ridge Academy,Avery,Newland,"76 Old Montezuma Rd, Newland, NC 28657",-81.9163373,36.0678483,,,,,,,,,,
83,60700,Avery High STEM Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,,,,,,,,,,
84,60701,Avery High Viking Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,Avery High Viking Academy,Northwest,9-Sep,N,60,F,Met,10.5,
88,70302,"Eastern Elementary, Washington",Beaufort,Washington,"947 Hudnell Street, Washington, NC 27889",-77.0351598,35.5457142,,,,,,,,,,
89,70308,Bath Elementary,Beaufort,Bath,"110 S King Street, Bath, NC 27808",-76.8111894,35.4751685,,,,,,,,,,
90,70310,B C Ed Tech Center,Beaufort,Washington,"820 North Bridge St, Washington, NC 27899",-77.0562215,35.5523349,,,,,,,,,,
91,70311,Beaufort Co Early College High,Beaufort,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105,,,,,,,,,,
92,70325,Chocowinity Middle,Beaufort,Chocowinity,"3831 US HWY 17 S, Chocowinity, NC 27817",-77.1007959,35.5098445,,,,,,,,,,
93,70326,Chocowinity Primary,Beaufort,Chocowinity,"606 Gray Road, Chocowinity, NC 27817",-77.0946226,35.4980489,,,,,,,,,,
94,70327,John C Tayloe Elementary,Beaufort,Washington,"910 Tarboro Street, Washington, NC 27889",-77.0639342,35.5577761,,,,,,,,,,
95,70328,John Small Elementary,Beaufort,Washington,"4103 North Market Street Ext, Washington, NC 27889",-77.0395955,35.5686437,,,,,,,,,,
96,70329,"Northeast Elementary, Pinetown",Beaufort,Pinetown,"21000 US Hwy 264 East, Pinetown, NC 27865",-76.7093004,35.5382576,,,,,,,,,,
97,70330,"Northside High, Pinetown",Beaufort,Pinetown,"7868 Free Union Church Road, Pinetown, NC 27865",-76.7299827,35.5365774,,,,,,,,,,
98,70338,P S Jones Middle,Beaufort,Washington,"4105 N Market Street Ext, Washington, NC 27889",-77.0351852,35.5990328,,,,,,,,,,
99,70339,Southside High,Beaufort,Chocowinity,"5700 Hwy 33 East, Chocowinity, NC 27817",-77.0568718,35.4461925,,,,,,,,,,
100,70340,S W Snowden Elementary,Beaufort,Aurora,"693 North 7th Street, Aurora, NC 27806",-76.7925358,35.3064178,,,,,,,,,,
101,70342,Washington High,Beaufort,Washington,"400 Slatestone Road, Washington, NC 27889",-77.0151413,35.5573276,,,,,,,,,,
104,80311,Bertie Early College High,Bertie,Windsor,"819 Governors Road, Windsor, NC 27983",-77.0134803,36.0343083,,,,,,,,,,
105,80312,Bertie High,Bertie,Windsor,"716 US Hwy 13 North, Windsor, NC 27983",-78.0609004,35.3202529,Bertie County Schools,Bertie High,Northeast,12-Sep,Y,56.7,D,Not Met,26.2,73.3
106,80314,Bertie Middle,Bertie,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907,Bertie County Schools,Bertie Middle,Northeast,8-Jun,Y,58.2,D,Not Met,45,
107,80348,Aulander Elementary,Bertie,Aulander,"2515 NC Highway 305 North, Aulander, NC 27805",-77.1058429,36.2154879,,,,,,,,,,
108,80356,West Bertie Elementary,Bertie,Kelford,"3734 Governors Road, Kelford, NC 27847",-77.2149439,36.1578521,Bertie County Schools,West Bertie Elementary,Northeast,PK-05,Y,68.9,D,Met,42.9,
109,80360,Colerain Elementary,Bertie,Colerain,"202 N Academy Street, Colerain, NC 27924",-76.7710699,36.1994918,,,,,,,,,,
110,80362,Windsor Elementary,Bertie,Windsor,"104 Cooper Hill Road, Windsor, NC 27983",-76.9204929,35.987805,,,,,,,,,,
113,90304,B T Washington Primary,Bladen,Clarkton,"66 Booker T Washington Road, Clarkton, NC 28433",-78.666651,34.500835,,,,,,,,,,
114,90315,Bladenboro Middle,Bladen,Bladenboro,"910 South Main Street, Bladenboro, NC 28320",-78.797447,34.53049,,,,,,,,,,
115,90317,Bladenboro Primary,Bladen,Bladenboro,"312 Old Whiteville Road, Bladenboro, NC 28320",-78.9856646,34.6114165,,,,,,,,,,
116,90318,Bladen Lakes Primary,Bladen,Elizabethtown,"9554 Johnsontown Road, Elizabethtown, NC 28337",-78.595286,34.711064,Bladen County Schools,Bladen Lakes Primary,Sandhills,PK-04,Y,83.5,D,Met,47.3,
117,90320,Clarkton School of Discovery,Bladen,Clarkton,"10000 North College Street, Clarkton, NC 28433",-78.6535959,34.4945624,,,,,,,,,,
118,90324,Dublin Primary,Bladen,Dublin,"7048 Albert Street, Dublin, NC 28332",-78.7201518,34.6548787,Bladen County Schools,Dublin Primary,Sandhills,PK-04,Y,85.2,D,Met,41.1,
119,90328,East Arcadia Elementary,Bladen,Riegelwood,"21451 NC Hwy 87 East, Riegelwood, NC 28456",-78.342192,34.4201,Bladen County Schools,East Arcadia Elementary,Sandhills,PK-04,Y,81.8,D,Met,37,
120,90330,East Bladen High,Bladen,Elizabethtown,"5600 NC Hwy 87 East, Elizabethtown, NC 28337",-78.530589,34.580132,,,,,,,,,,
121,90332,Elizabethtown Middle,Bladen,Elizabethtown,"1496 Hwy 701 South, Elizabethtown, NC 28337",-78.6151174,34.6135997,Bladen County Schools,Elizabethtown Middle,Sandhills,8-May,Y,75.5,D,Not Met,42,
122,90333,Elizabethtown Primary,Bladen,Elizabethtown,"301 Mercer Road, Elizabethtown, NC 28337",-78.604944,34.6207993,,,,,,,,,,
123,90352,Plain View Primary,Bladen,Tar Heel,"1963 Chicken Foot Road, Tar Heel, NC 28392",-78.8399958,34.7385359,Bladen County Schools,Plain View Primary,Sandhills,PK-04,Y,77.9,D,Met,43.2,
124,90365,Tar Heel Middle,Bladen,Tar Heel,"14888 Hwy 87 West, Tar Heel, NC 28392",-78.7943023,34.7366219,Bladen County Schools,Tar Heel Middle,Sandhills,8-May,Y,83.9,D,Not Met,42.8,
125,90368,West Bladen High,Bladen,Bladenboro,"1600 NC Hwy 410, Bladenboro, NC 28320",-78.7413234,34.6384911,,,,,,,,,,
129,100302,Belville Elementary,Brunswick,Leland,"575 River Road, Leland, NC 28451",-77.9841636,34.2209184,,,,,,,,,,
130,100304,Bolivia Elementary,Brunswick,Bolivia,"4036 Business Hwy 17-E, Bolivia, NC 28422",-78.1446849,34.070355,,,,,,,,,,
131,100307,Brunswick County Early College,Brunswick,Bolivia,"50 College Road NE, Bolivia, NC 28422",-78.2290128,34.038474,,,,,,,,,,
132,100308,Brunswick County Academy,Brunswick,Bolivia,"1109 Old Ocean Highway, Bolivia, NC 28422",-78.2388036,34.0378753,,,,,,,,,,
133,100309,Cedar Grove Middle,Brunswick,Supply,"750 Grove Trail SW, Supply, NC 28462",-78.270573,33.9666753,,,,,,,,,,
134,100310,Jessie Mae Monroe Elementary,Brunswick,Ash,"250 Pea Landing Road NW, Ash, NC 28420",-78.5478958,33.9477454,,,,,,,,,,
135,100316,Leland Middle,Brunswick,Leland,"927 Old Fayetteville Road NE, Leland, NC 28451",-78.033794,34.23541,Brunswick County Schools,Leland Middle,Southeast,8-Jun,Y,69.4,D,Not Met,51.3,
136,100320,"Lincoln Elementary, Leland",Brunswick,Leland,"1664 Lincoln Road, Leland, NC 28451",-78.0416709,34.261238,,,,,,,,,,
137,100326,North Brunswick High,Brunswick,Leland,"114 Scorpion Drive, Leland, NC 28451",-78.023383,34.240696,,,,,,,,,,
138,100332,Shallotte Middle,Brunswick,Shallotte,"225 Village Road, Shallotte, NC 28459",-78.3883709,33.9637249,,,,,,,,,,
139,100334,South Brunswick High,Brunswick,Southport,"280 Cougar Drive BSL, Southport, NC 28461",-78.0430647,34.0111568,,,,,,,,,,
140,100335,South Brunswick Middle,Brunswick,Southport,"100 Cougar Drive BSL, Southport, NC 28461",-78.048488,34.00855,,,,,,,,,,
141,100336,Southport Elementary,Brunswick,Southport,"701 West 9th Street, Southport, NC 28461",-78.0319351,33.9251897,,,,,,,,,,
142,100338,Supply Elementary,Brunswick,Supply,"51 Benton Road SE, Supply, NC 28462",-78.258371,34.0251019,Brunswick County Schools,Supply Elementary,Southeast,PK-05,Y,84.7,D,Not Met,44.8,
143,100339,Town Creek Elementary,Brunswick,Winnabow,"6330 Lake Park Dr SE, Winnabow, NC 28479",-78.087019,34.139646,,,,,,,,,,
144,100340,"Union Elementary, Shallotte",Brunswick,Shallotte,"180 Union School Road NW, Shallotte, NC 28470",-78.4598662,33.9586678,,,,,,,,,,
145,100342,Virginia Williamson Elem,Brunswick,Bolivia,"1020 Zion Hill Road, Bolivia, NC 28422",-78.2368264,33.9941,,,,,,,,,,
146,100344,Waccamaw,Brunswick,Ash,"5901 Waccamaw School Road NW, Ash, NC 28420",-78.5152684,34.063384,,,,,,,,,,
147,100348,West Brunswick High,Brunswick,Shallotte,"550 Whiteville Road NW, Shallotte, NC 28470",-78.4099352,33.9811785,,,,,,,,,,
151,110303,Community High School,Buncombe,Swannanoa,"235 Old US 70, Swannanoa, NC 28778",-82.4342289,35.5930578,,,,,,,,,,
152,110304,Reynolds High,Buncombe,Asheville,"1 Rocket Drive, Asheville, NC 28803",-82.477241,35.545811,,,,,,,,,,
153,110306,Reynolds Middle,Buncombe,Asheville,"2 Rocket Drive, Asheville, NC 28803",-82.476291,35.546776,,,,,,,,,,
154,110308,Barnardsville Elementary,Buncombe,Barnardsville,"20 Hillcrest Drive, Barnardsville, NC 28709",-82.459703,35.775168,,,,,,,,,,
155,110318,Black Mountain Elementary,Buncombe,Black Mountain,"100 Flat Creek Road, Black Mountain, NC 28711",-82.3142408,35.6219536,,,,,,,,,,
156,110320,Black Mountain Primary,Buncombe,Black Mountain,"301 East State Street, Black Mountain, NC 28711",-82.3178576,35.6205827,,,,,,,,,,
157,110322,Early College,Buncombe,Asheville,"340 Victoria Road, Asheville, NC 28801",-82.553755,35.570074,,,,,,,,,,
158,110323,Middle College,Buncombe,Asheville,"340 Victoria Road, Asheville, NC 28801",-82.553755,35.570074,,,,,,,,,,
159,110324,Candler Elementary,Buncombe,Candler,"121 Candler School Road, Candler, NC 28715",-82.7009881,35.5389136,,,,,,,,,,
160,110326,Cane Creek Middle,Buncombe,Fletcher,"570 Lower Brush Creek Road, Fletcher, NC 28732",-82.4362091,35.482339,,,,,,,,,,
161,110332,Bell Elementary,Buncombe,Asheville,"90 Maple Springs Road, Asheville, NC 28805",-82.492847,35.589248,,,,,,,,,,
162,110336,Owen High,Buncombe,Black Mountain,"99 Lake Eden Road, Black Mountain, NC 28711",-82.3734121,35.6189247,,,,,,,,,,
163,110338,Owen Middle,Buncombe,Swannanoa,"730 Old US 70, Swannanoa, NC 28778",-82.3741091,35.6060338,,,,,,,,,,
164,110340,Erwin High,Buncombe,Asheville,"60 Lees Creek Road, Asheville, NC 28806",-82.6257481,35.6192827,,,,,,,,,,
165,110342,"Erwin Middle, Asheville",Buncombe,Asheville,"20 Erwin Hills Road, Asheville, NC 28806",-82.6228321,35.6194901,Buncombe County Schools,Erwin Middle,Western,8-Jul,N,68.4,D,Not Met,45.8,
166,110348,Emma Elementary,Buncombe,Asheville,"37 Brickyard Road, Asheville, NC 28806",-82.5922712,35.5983122,,,,,,,,,,
167,110352,Enka High,Buncombe,Candler,"475 Enka Lake Road, Candler, NC 28715",-82.66591,35.529946,,,,,,,,,,
168,110356,"Fairview Elementary, Fairview",Buncombe,Fairview,"1355 Charlotte Hwy, Fairview, NC 28730",-82.411025,35.5228804,,,,,,,,,,
169,110366,Glen Arden Elementary,Buncombe,Arden,"50 Pinehurst Circle, Arden, NC 28704",-82.4966592,35.4696154,,,,,,,,,,
170,110368,Haw Creek Elementary,Buncombe,Asheville,"21 Trinity Chapel Road, Asheville, NC 28805",-82.505112,35.594724,,,,,,,,,,
171,110370,Hominy Valley Elementary,Buncombe,Candler,"450 Enka Lake Road, Candler, NC 28715",-82.6639563,35.5342958,,,,,,,,,,
172,110372,Johnston Elementary,Buncombe,Asheville,"230 Johnston Boulevard, Asheville, NC 28806",-82.6198369,35.5866295,Buncombe County Schools,Johnston Elementary,Western,0K-04,Y,56.3,F,Not Met,30.7,
173,110376,Leicester Elementary,Buncombe,Leicester,"31 Gilbert Road, Leicester, NC 28748",-82.7066726,35.6587726,,,,,,,,,,
174,110379,North Buncombe Elementary,Buncombe,Weaverville,"251 Flat Creek Church Rd, Weaverville, NC 28787",-82.5685725,35.7460269,,,,,,,,,,
175,110380,North Buncombe High,Buncombe,Weaverville,"890 Clarks Chapel Road, Weaverville, NC 28787",-82.557616,35.739801,,,,,,,,,,
176,110381,North Buncombe Middle,Buncombe,Weaverville,"51 N Buncombe School Road, Weaverville, NC 28787",-82.557697,35.716091,,,,,,,,,,
177,110382,North Windy Ridge Intermediate,Buncombe,Weaverville,"20 Doan Road, Weaverville, NC 28787",-82.5518075,35.726038,,,,,,,,,,
178,110384,Oakley Elementary,Buncombe,Asheville,"753 Fairview Road, Asheville, NC 28803",-82.512424,35.564096,Buncombe County Schools,Oakley Elementary,Western,0K-05,Y,48.2,D,Not Met,41.9,
179,110388,Pisgah Elementary,Buncombe,Candler,"1495 Pisgah Hwy, Candler, NC 28715",-82.7317218,35.5037294,,,,,,,,,,
180,110401,Enka Middle,Buncombe,Candler,"390 Asbury Road, Candler, NC 28715",-82.6644723,35.5521969,,,,,,,,,,
181,110408,Sand Hill-Venable Elem,Buncombe,Asheville,"154 Sand Hill School Road, Asheville, NC 28806",-82.63921,35.553844,,,,,,,,,,
182,110410,Avery's Creek Elementary,Buncombe,Arden,"15 Park South Boulevard, Arden, NC 28704",-82.5792672,35.4774437,Buncombe County Schools,Avery's Creek Elementary,Western,0K-04,Y,63.9,D,Met,48.5,
183,110412,Williams Elementary,Buncombe,Swannanoa,"161 Bee Tree Road, Swannanoa, NC 28778",-82.4025554,35.6042883,,,,,,,,,,
184,110416,Roberson High,Buncombe,Asheville,"250 Overlook Road, Asheville, NC 28803",-82.5352348,35.487034,,,,,,,,,,
185,110420,Valley Springs Middle,Buncombe,Arden,"224 Long Shoals Road, Arden, NC 28704",-82.541122,35.484896,,,,,,,,,,
186,110422,Estes Elementary,Buncombe,Asheville,"275 Overlook Road, Asheville, NC 28803",-82.539873,35.4878829,,,,,,,,,,
187,110425,Enka Intermediate,Buncombe,Candler,"125 Asheville Commerce Parkway, Candler, NC 28715",-82.6377211,35.5437645,,,,,,,,,,
188,110428,Weaverville Elementary,Buncombe,Weaverville,"129 S Main Street, Weaverville, NC 28787",-82.5630494,35.6896593,,,,,,,,,,
189,110432,Weaverville Primary,Buncombe,Weaverville,"39 S Main Street, Weaverville, NC 28787",-82.560843,35.69486,,,,,,,,,,
190,110436,West Buncombe Elementary,Buncombe,Asheville,"175 Erwin Hills Road, Asheville, NC 28806",-82.6215029,35.6176718,,,,,,,,,,
191,110444,Woodfin Elementary,Buncombe,Asheville,"108 Elk Mountain Road, Asheville, NC 28804",-82.584963,35.632111,,,,,,,,,,
192,110450,Koontz Intermediate,Buncombe,Asheville,"305 Overlook Road, Asheville, NC 28803",-82.5398049,35.4839617,,,,,,,,,,
