affiliate,name,CISNC_school,code,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
N/A,Wadesboro Elementary,no,40330,Anson,Wadesboro,"321 Camden Road, Wadesboro, NC 28710",-80.0790723,34.9622196,Anson County Schools,Southwest,Y,71.9,F,Not Met,22,N/A
CIS of Buncombe County/ Children First,Estes Elementary,yes,110422,Buncombe,Asheville,"275 Overlook Road, Asheville, NC 28803",-82.539873,35.4878829,Buncombe County Schools,Western,Y,44.5,C,Met,63.6,N/A
N/A,Avery High Viking Academy,no,60701,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,Northwest,N,60,F,Met,10.5,N/A
N/A,Grandfather Academy,no,06A000,Avery,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604",-81.8783765,36.1521736,Charter Schools,Northwest,Y,50,F,Not Available,5,N/A
N/A,Williams Academy,no,06B000,Avery,Crossnore,"129 Allen Circle, Crossnore, NC 28616",-81.928458,36.024783,Charter Schools,Northwest,Y,74.1,D,Met,43.2,N/A
CIS of Buncombe County/ Children First,Claxton Elementary,yes,111312,Buncombe,Asheville,"241 Merrimon Avenue, Asheville, NC 28801",-82.553409,35.607753,Asheville City Schools,Western,Y,36.2,C,Met,64.8,N/A
N/A,Bertie Middle,no,80314,Bertie,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907,Bertie County Schools,Northeast,Y,58.2,D,Not Met,45,N/A
N/A,West Bertie Elementary,no,80356,Bertie,Kelford,"3734 Governors Road, Kelford, NC 27847",-77.2149439,36.1578521,Bertie County Schools,Northeast,Y,68.9,D,Met,42.9,N/A
N/A,Heritage Collegiate Leadership Academy,no,08A000,Bertie,Windsor,"118-B County Farm Road, Windsor, NC 27983",-76.9466248,35.9776865,Charter Schools,Northeast,Y,72.4,F,Not Met,8.6,N/A
N/A,Bladen Lakes Primary,no,90318,Bladen,Elizabethtown,"9554 Johnsontown Road, Elizabethtown, NC 28337",-78.595286,34.711064,Bladen County Schools,Sandhills,Y,83.5,D,Met,47.3,N/A
N/A,Dublin Primary,no,90324,Bladen,Dublin,"7048 Albert Street, Dublin, NC 28332",-78.7201518,34.6548787,Bladen County Schools,Sandhills,Y,85.2,D,Met,41.1,N/A
N/A,East Arcadia Elementary,no,90328,Bladen,Riegelwood,"21451 NC Hwy 87 East, Riegelwood, NC 28456",-78.342192,34.4201,Bladen County Schools,Sandhills,Y,81.8,D,Met,37,N/A
N/A,Elizabethtown Middle,no,90332,Bladen,Elizabethtown,"1496 Hwy 701 South, Elizabethtown, NC 28337",-78.6151174,34.6135997,Bladen County Schools,Sandhills,Y,75.5,D,Not Met,42,N/A
N/A,Plain View Primary,no,90352,Bladen,Tar Heel,"1963 Chicken Foot Road, Tar Heel, NC 28392",-78.8399958,34.7385359,Bladen County Schools,Sandhills,Y,77.9,D,Met,43.2,N/A
N/A,Tar Heel Middle,no,90365,Bladen,Tar Heel,"14888 Hwy 87 West, Tar Heel, NC 28392",-78.7943023,34.7366219,Bladen County Schools,Sandhills,Y,83.9,D,Not Met,42.8,N/A
N/A,Paul R Brown Leadership Academy,no,09A000,Bladen,Elizabethtown,"1300 Martin L King Jr Dr, Elizabethtown, NC 28337",-78.6176359,34.6212429,Charter Schools,Sandhills,Y,72.3,F,Met,27.3,N/A
CIS of Cape Fear,R Freeman Sch of Engineering,yes,650312,New Hanover,Wilmington,"2601 Princess Place Drive, Wilmington, NC 28405",-77.9134872,34.2451529,New Hanover County Schools,Southeast,Y,95,F,Met,21.5,N/A
CIS of Cape Fear,West Pender Middle,yes,710348,Pender,Burgaw,"10750 NC Hwy 53 West, Burgaw, NC 28425",-78.104665,34.5274612,Pender County Schools,Southeast,Y,92.2,D,Met,42.2,N/A
CIS of Cape Fear,A H Snipes Academy of Arts/Des,yes,650384,New Hanover,Wilmington,"2150 Chestnut Street, Wilmington, NC 28405",-77.9204058,34.2393823,New Hanover County Schools,Southeast,Y,91.5,D,Met,33.2,N/A
CIS of Cape Fear,Malpass Corner Elementary,yes,710324,Pender,Burgaw,"4992 Malpass Corner Road, Burgaw, NC 28425",-78.0539806,34.5037157,Pender County Schools,Southeast,Y,90.7,D,Exceeded,41,N/A
CIS of Cape Fear,Burgaw Elementary,yes,710312,Pender,Burgaw,"400 North Wright Street, Burgaw, NC 28425",-77.928072,34.556515,Pender County Schools,Southeast,Y,90.6,C,Exceeded,50,N/A
CIS of Cape Fear,Sunset Park Elementary,yes,650368,New Hanover,Wilmington,"613 Alabama Ave, Wilmington, NC 28401",-77.9412036,34.2078187,New Hanover County Schools,Southeast,Y,90.4,C,Exceeded,46.4,N/A
N/A,"Erwin Middle, Asheville",no,110342,Buncombe,Asheville,"20 Erwin Hills Road, Asheville, NC 28806",-82.6228321,35.6194901,Buncombe County Schools,Western,N,68.4,D,Not Met,45.8,N/A
CIS of Cape Fear,Burgaw Middle,yes,710316,Pender,Burgaw,"500 South Wright Street, Burgaw, NC 28425",-77.9245567,34.5450238,Pender County Schools,Southeast,Y,88.3,C,Met,52.9,N/A
CIS of Cape Fear,Forest Hills Global Elementary,yes,650328,New Hanover,Wilmington,"602 Colonial Drive, Wilmington, NC 28403",-77.9140674,34.2304516,New Hanover County Schools,Southeast,Y,81.9,D,Met,36.9,N/A
N/A,Oakley Elementary,no,110384,Buncombe,Asheville,"753 Fairview Road, Asheville, NC 28803",-82.512424,35.564096,Buncombe County Schools,Western,Y,48.2,D,Not Met,41.9,N/A
N/A,Avery's Creek Elementary,no,110410,Buncombe,Arden,"15 Park South Boulevard, Arden, NC 28704",-82.5792672,35.4774437,Buncombe County Schools,Western,Y,63.9,D,Met,48.5,N/A
CIS of Cape Fear,Pender High,yes,710326,Pender,Burgaw,"5380 NC Hwy 53 W, Burgaw, NC 28425",-78.0123143,34.5452748,Pender County Schools,Southeast,N,81.5,C,Met,42.4,91
CIS of Cape Fear,Cape Fear Elementary,yes,710318,Pender,Rocky Point,"1882 NC Hwy 133, Rocky Point, NC 28457",-77.9166413,34.4066433,Pender County Schools,Southeast,Y,80.9,C,Exceeded,59.7,N/A
CIS of Cape Fear,Williston Middle,yes,650392,New Hanover,Wilmington,"401 S 10th St, Wilmington, NC 28401",-77.934147,34.2311,New Hanover County Schools,Southeast,Y,80,D,Not Met,36.1,N/A
N/A,Mountain View Elementary,no,120354,Burke,Morganton,"805 Bouchelle St,Â Morganton, NCÂ 28655",-81.7015061,35.7538794,Burke County Schools,Northwest,Y,82.6,D,Not Met,44.4,N/A
CIS of Cape Fear,Wrightsboro Elementary,yes,650404,New Hanover,Wilmington,"2716 Castle Hayne Rd, Wilmington, NC 28401",-77.9202316,34.2924175,New Hanover County Schools,Southeast,Y,79.9,D,Met,39.4,N/A
CIS of Cape Fear,Cape Fear Middle,yes,710320,Pender,Rocky Point,"1886 NC Hwy 133, Rocky Point, NC 28457",-77.9162638,34.4058593,Pender County Schools,Southeast,Y,78.3,C,Not Met,48.4,N/A
N/A,"Rocky River Elementary, Concord",no,130329,Cabarrus,Concord,"5454 Rocky River Road, Concord, NC 28025",-80.5980388,35.3422869,Cabarrus County Schools,Southwest,Y,65.2,D,Met,44.4,N/A
N/A,Winecoff Elementary,no,130340,Cabarrus,Concord,"375 Winecoff Sch Road, Concord, NC 28027",-80.6179398,35.4464301,Cabarrus County Schools,Southwest,Y,43.6,D,Met,45.2,N/A
N/A,GW Carver Elementary,no,132314,Cabarrus,Kannapolis,"525 East C St, Kannapolis, NC 28083",-80.6173412,35.4933308,Kannapolis City Schools,Southwest,Y,30.6,D,Met,42.7,N/A
N/A,Kannapolis Middle,no,132330,Cabarrus,Kannapolis,"1445 Oakwood Avenue, Kannapolis, NC 28081",-80.6387447,35.467353,Kannapolis City Schools,Southwest,N,39.7,D,Not Met,44.4,N/A
N/A,Woodrow Wilson Elementary,no,132336,Cabarrus,Kannapolis,"800 N Walnut Street, Kannapolis, NC 28081",-80.6191188,35.508243,Kannapolis City Schools,Southwest,Y,43.5,D,Met,45.2,N/A
N/A,Cabarrus Charter Academy,no,13B000,Cabarrus,Concord,"355 Poplar Crossing Dr NW, Concord, NC 28027",-80.668976,35.4087319,Charter Schools,Southwest,Y,36.1,D,Not Met,47,N/A
N/A,A.C.E. Academy,no,13C000,Cabarrus,Harrisburg,"7807 Caldwell Road, Harrisburg, NC 28075",-80.6730051,35.3082994,Charter Schools,Southwest,Y,57.1,D,Met,39.1,N/A
N/A,Kannapolis Charter Academy,no,13D000,Cabarrus,Kannapolis,"1911 Concord Lake Road, Kannapolis, NC 28083",-80.5991251,35.4595013,Charter Schools,Southwest,Y,50.1,D,Not Met,42.7,N/A
N/A,Valmead Elementary,no,140388,Caldwell,Lenoir,"111 Elizabeth Drive NW, Lenoir, NC 28645",-81.539501,35.936797,Caldwell County Schools,Northwest,Y,67.5,D,Not Available,Not Available,N/A
N/A,West Lenoir Elementary,no,140392,Caldwell,Lenoir,"125 Maple Drive NW, Lenoir, NC 28645",-81.5527916,35.9094654,Caldwell County Schools,Northwest,Y,68.3,D,Met,32.7,N/A
N/A,N L Dillard Middle,no,170338,Caswell,Yanceyville,"255 Hatchett Road, Yanceyville, NC 27379",-79.3654755,36.4131177,Caswell County Schools,Piedmont-Triad,Y,66,D,Not Met,36.6,N/A
N/A,"Stoney Creek Elementary, Reidsville",no,170344,Caswell,Reidsville,"1803 Stoney Creek School Road, Reidsville, NC 27320",-79.423574,36.345013,Caswell County Schools,Piedmont-Triad,Y,48.2,D,Met,41.3,N/A
N/A,North Newton Elementary,no,182328,Catawba,Newton,"221 West 26th St, Newton, NC 28658",-81.221793,35.688814,Newton Conover City Schools,Northwest,Y,73.6,D,Not Met,43.3,N/A
CIS of Cape Fear,Heide Trask High,yes,710321,Pender,Rocky Point,"14328 NC Hwy 210, Rocky Point, NC 28457",-77.8925501,34.4377804,Pender County Schools,Southeast,N,78,C,Met,44,91
CIS of Cape Fear,Penderlea Elementary,yes,710328,Pender,Willard,"82 Penderlea School Road, Willard NC 28478",-78.0493347,34.6557174,Pender County Schools,Southeast,Y,75.5,C,Met,56.1,N/A
CIS of Cape Fear,Virgo Middle,yes,650409,New Hanover,Wilmington,"813 Nixon St, Wilmington, NC 28401",-77.940458,34.250692,New Hanover County Schools,Southeast,Y,74.9,F,Not Met,26.4,N/A
CIS of Cape Fear,College Park Elementary,yes,650316,New Hanover,Wilmington,"5001 Oriole Dr. , Wilmington, NC 28403",-77.86336,34.236268,New Hanover County Schools,Southeast,Y,73.3,C,Met,48.1,N/A
CIS of Cape Fear,Career Readiness Academy at Mosley PLC,yes,650355,New Hanover,Wilmington,"3702 Princess Place Drive, Wilmington, NC 28405",-77.900543,34.243048,New Hanover County Schools,Southeast,N,70.3,ALT system,ALT system,ALT system,N/A
