district_from_state,code,name_from_state,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Durham Public Schools,320354,Morehead Montessori,North Central,,36.5,B,Exceeded,67.8,
Stokes County Schools,850312,Germanton Elementary,Piedmont-Triad,Y,53.2,D,Not Met,44.8,
Durham Public Schools,320356,Northern High,North Central,,58.1,C,Exceeded,33.8,82.1
Union County Public Schools,900388,Wingate Elementary,Southwest,Y,53.2,D,Not Met,50.2,
Warren County Schools,930340,Northside K-8,North Central,Y,53.2,D,Not Met,44.2,
Durham Public Schools,320363,E K Powe Elementary,North Central,Y,50.8,C,Met,51.7,
Durham Public Schools,320364,Pearsontown Elementary,North Central,,30.1,B,Exceeded,76.6,
Durham Public Schools,320365,Riverside High,North Central,,54.2,C,Exceeded,51.1,80.6
Durham Public Schools,320366,Sherwood Githens Middle,North Central,Y,59.8,C,Met,51.6,
Durham Public Schools,320367,R N Harris Elementary,North Central,Y,50.7,C,Exceeded,48.4,
Durham Public Schools,320368,Southern School of Energy and Sustainabi,North Central,,65,C,Met,30.3,76.9
Durham Public Schools,320369,Sandy Ridge Elementary,North Central,Y,70.5,C,Exceeded,49.8,
Durham Public Schools,320370,Rogers-Herr Middle,North Central,,46.2,B,Met,64.2,
Durham Public Schools,320372,Southwest Elementary,North Central,Y,58.3,C,Exceeded,49.7,
Nash-Rocky Mount Schools,640328,Englewood Elementary,North Central,Y,53.4,D,Not Met,43.4,
Durham Public Schools,320376,Spring Valley Elementary,North Central,Y,61.7,C,Met,44.9,
Charlotte-Mecklenburg Schools,600474,Newell Elementary,Southwest,Y,53.5,D,Met,45.2,
Charlotte-Mecklenburg Schools,600374,Druid Hills Academy,Southwest,Y,79.5,F,Not Met,25.8,
Durham Public Schools,320701,Hillside New Tech High,North Central,,53.2,C,Met,40.2,>95
Wake County Schools,920370,Centennial Campus Middle,North Central,,53.5,D,Not Met,46.5,
Edgecombe County Public School,330308,G W Carver Elementary,North Central,Y,50.1,C,Exceeded,46.9,
Washington County Schools,940306,Creswell Elementary,Northeast,Y,53.5,D,Met,47.3,
Edgecombe County Public School,330326,Edgecombe Early College High,North Central,,24.6,A,Exceeded,85,
Edgecombe County Public School,330328,North Edgecombe High,North Central,Y,55.5,C,Exceeded,33.6,86.5
Charter Schools,32Q000,Reaching All Minds Academy,North Central,Y,21.1,F,Met,29,
Forsyth County Schools,340384,Griffith Elementary,Piedmont-Triad,Y,53.8,D,Exceeded,41.1,
Martin County Schools,580372,Riverside Middle,Northeast,Y,54.3,D,Not Met,39,
Rockingham County Schools,790374,Reidsville Middle,Piedmont-Triad,Y,54.6,D,Met,44.5,
Edgecombe County Public School,330348,West Edgecombe Middle,North Central,Y,55.4,C,Exceeded,46.5,
Nash-Rocky Mount Schools,640400,Winstead Avenue Elementary,North Central,Y,54.7,D,,,
Guilford County Schools,410307,Edwin A Alderman Elementary,Piedmont-Triad,Y,55,D,Not Met,50.8,
Guilford County Schools,410487,Northeast Guilford Middle,Piedmont-Triad,Y,55,D,Exceeded,41.1,
Edgecombe County Public School,330360,Martin Millennium Academy,North Central,Y,44.3,C,Exceeded,44.8,
Cumberland County Schools,260368,Hope Mills Middle,Sandhills,,55.1,D,Not Met,47.4,
Forsyth County Schools,340311,Atkins Academic & Tech High,Piedmont-Triad,,26,A,Exceeded,80.3,>95
Rockingham County Schools,790386,South End Elementary,Piedmont-Triad,Y,55.1,D,Not Met,43.8,
Forsyth County Schools,340320,Brunson Elementary,Piedmont-Triad,Y,45,C,Met,66.7,
Forsyth County Schools,340326,Caleb's Creek Elementary,Piedmont-Triad,,39.1,B,Met,70.4,
Anson County Schools,040309,Anson Middle,Southwest,,55.2,D,Not Met,35.6,
Forsyth County Schools,340332,Career Center,Piedmont-Triad,,*,I,,,
Forsyth County Schools,340334,Cash Elementary,Piedmont-Triad,,43.4,B,Exceeded,65.6,
Forsyth County Schools,340336,Carter High School,Piedmont-Triad,,36.6,ALT,,,
Forsyth County Schools,340344,Childrens Center,Piedmont-Triad,,53.7,ALT,,,
Forsyth County Schools,340348,Clemmons Elementary,Piedmont-Triad,,21,A,Exceeded,86.4,
Forsyth County Schools,340350,Clemmons Middle School,Piedmont-Triad,,48.2,B,Exceeded,65.9,
Hertford County Schools,460320,Hertford County High,Northeast,Y,55.2,D,Not Met,24.5,74.7
Forsyth County Schools,340354,The Downtown School,Piedmont-Triad,,17.4,B,Exceeded,77.6,
Forsyth County Schools,340362,Early College of Forsyth Co,Piedmont-Triad,,18.2,A,Met,90.2,>95
Forsyth County Schools,340364,East Forsyth High,Piedmont-Triad,,36,C,Not Met,51,90.1
Charter Schools,61U000,UpROAR Leadership Academy,Southwest,Y,28.6,F,Not Met,7.2,
Gaston County Schools,360408,W P Grier Middle School,Southwest,Y,55.5,D,Not Met,42.6,
Charter Schools,74B000,Ignite Innovation Academy - Pitt,Northeast,Y,47.8,F,Not Met,18.6,
Nash-Rocky Mount Schools,640346,Nash Central High,North Central,,55.7,D,Not Met,31.2,77.3
Wake County Schools,920326,Baileywick Road Elementary,North Central,Y,55.7,D,Not Met,50.8,
Forsyth County Schools,340382,Robert B Glenn High School,Piedmont-Triad,,54.2,C,Exceeded,40.6,80.6
Charter Schools,60L000,KIPP Charlotte,Southwest,Y,55.8,D,Not Met,31.7,
Forsyth County Schools,340385,Main Street Academy,Piedmont-Triad,Y,77.4,ALT,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,Y,55.9,D,Met,34.6,
Forsyth County Schools,340392,Hanes Magnet School,Piedmont-Triad,,37.1,B,Met,74.7,
Forsyth County Schools,340398,Homebound/ Hospital Education,Piedmont-Triad,,*,I,,,
Nash-Rocky Mount Schools,640320,Nash Central Middle,North Central,,55.9,D,Not Met,44.6,
Forsyth County Schools,340403,Jefferson Elementary,Piedmont-Triad,,32.1,B,Met,76,
Forsyth County Schools,340406,Thomas Jefferson Middle,Piedmont-Triad,,33,B,Met,71.3,
Forsyth County Schools,340416,Kernersville Elementary,Piedmont-Triad,Y,51.3,C,Exceeded,57.3,
Forsyth County Schools,340420,Kernersville Middle,Piedmont-Triad,,41.6,B,Exceeded,69.3,
Charlotte-Mecklenburg Schools,600576,West Charlotte High,Southwest,Y,56,D,Not Met,26,68.3
Forsyth County Schools,340426,Kimmel Farm Elementary,Piedmont-Triad,Y,39.3,C,Exceeded,56.7,
Forsyth County Schools,340427,Kingswood School,Piedmont-Triad,Y,76.2,ALT,,,
Union County Public Schools,900370,Walter Bickett Elementary,Southwest,Y,56,D,Exceeded,42.1,
Charlotte-Mecklenburg Schools,600448,Martin Luther King Jr Middle,Southwest,Y,56.2,D,Exceeded,39.8,
Forsyth County Schools,340432,Lewisville Elementary,Piedmont-Triad,,23.1,A,Exceeded,85,
Forsyth County Schools,340436,Lowrance Middle,Piedmont-Triad,,67.9,ALT,,,
Forsyth County Schools,340440,Meadowlark Elementary,Piedmont-Triad,,22.4,A,Exceeded,87.8,
Forsyth County Schools,340442,Meadowlark Middle,Piedmont-Triad,,20.1,B,Exceeded,81.9,
Forsyth County Schools,340446,Middle College of Forsyth Cnty,Piedmont-Triad,,14.6,A,,,>95
Forsyth County Schools,340448,Mineral Springs Elementary,Piedmont-Triad,Y,64.5,C,Met,50.3,
Charter Schools,06A000,Grandfather Academy,Northwest,Y,50,F,,<5,
Durham Public Schools,320304,Bethesda Elementary,North Central,Y,56.3,D,Met,39.8,
Forsyth County Schools,340454,Mount Tabor High School,Piedmont-Triad,,45.2,B,Met,51.5,90.6
Forsyth County Schools,340457,Frank Morgan Elementary,Piedmont-Triad,,40.3,B,Exceeded,74.2,
Onslow County Schools,670322,Hunters Creek Middle,Southeast,Y,56.3,D,Not Met,47.2,
Rowan-Salisbury Schools,800358,Isenberg Elementary,Southwest,Y,56.6,D,Exceeded,42.2,
Bertie County Schools,080312,Bertie High,Northeast,Y,56.7,D,Not Met,26.2,73.3
Forsyth County Schools,340472,Old Richmond Elementary,Piedmont-Triad,,51.3,B,Exceeded,67.8,
Thomasville City Schools,292320,Thomasville Middle,Piedmont-Triad,Y,56.7,D,Exceeded,37.3,
Forsyth County Schools,340480,Paisley IB Magnet School,Piedmont-Triad,Y,51.8,C,Not Met,59.3,
Stanly County Schools,840310,Central Elementary,Southwest,Y,56.8,D,Met,39.2,
Forsyth County Schools,340488,J F Kennedy High,Piedmont-Triad,Y,52.4,C,Exceeded,35,>95
Charlotte-Mecklenburg Schools,600485,Oakdale Elementary,Southwest,Y,56.9,D,Met,31.8,
Cumberland County Schools,260370,Ed V Baldwin Elementary,Sandhills,Y,56.9,D,Met,44.7,
Forsyth County Schools,340494,Piney Grove Elementary,Piedmont-Triad,,32.7,B,Met,72.9,
Forsyth County Schools,340495,Ronald W Reagan High School,Piedmont-Triad,,22.1,A,Exceeded,76.3,94.3
Forsyth County Schools,340496,R J Reynolds High,Piedmont-Triad,,45.7,B,Met,54.6,86.5
Forsyth County Schools,340504,Rural Hall Elementary,Piedmont-Triad,Y,60.6,C,Not Met,50.9,
Forsyth County Schools,340508,Sedge Garden Elementary,Piedmont-Triad,,52.2,C,Exceeded,61.1,
Forsyth County Schools,340512,Sherwood Forest Elementary,Piedmont-Triad,,15.6,A,Met,87.7,
Rowan-Salisbury Schools,800315,Overton Elementary,Southwest,Y,56.9,D,Not Met,37.3,
Forsyth County Schools,340516,Southeast Middle,Piedmont-Triad,,51.8,C,Met,51.7,
Forsyth County Schools,340520,South Fork Elementary,Piedmont-Triad,Y,59.3,C,Exceeded,52.3,
Forsyth County Schools,340528,Southwest Elementary,Piedmont-Triad,,32.4,B,Met,82.5,
Charlotte-Mecklenburg Schools,600303,Charlotte East Language Academy,Southwest,Y,57,D,Not Met,41.2,
Forsyth County Schools,340531,The Special Children's School,Piedmont-Triad,,67.2,ALT,,,
Forsyth County Schools,340532,Union Cross Traditional Acad,Piedmont-Triad,Y,56.4,C,Met,50.5,
Forsyth County Schools,340536,Vienna Elementary,Piedmont-Triad,,18.7,B,Exceeded,82,
Forsyth County Schools,340540,Walkertown Elementary,Piedmont-Triad,Y,45,C,Not Met,49,
Forsyth County Schools,340542,Walkertown High,Piedmont-Triad,,49.3,C,Not Met,43.8,90.6
Forsyth County Schools,340544,Walkertown Middle,Piedmont-Triad,Y,67,C,Exceeded,48.3,
Charter Schools,13C000,A.C.E. Academy,Southwest,Y,57.1,D,Met,39.1,
Forsyth County Schools,340556,West Forsyth High,Piedmont-Triad,,24.5,B,Met,68,93.3
Forsyth County Schools,340560,Whitaker Elementary,Piedmont-Triad,,15.7,A,Met,86.8,
Forsyth County Schools,340564,Wiley Magnet Middle,Piedmont-Triad,Y,47.6,C,Met,46.9,
Harnett County Schools,430304,Anderson Creek Primary,North Central,Y,57.1,D,,,
Franklin County Schools,350304,Bunn Elementary,North Central,Y,71,C,Exceeded,62.2,
Franklin County Schools,350308,Bunn High,North Central,,53.1,B,Exceeded,56,82.4
Franklin County Schools,350310,Bunn Middle,North Central,Y,62.9,C,Not Met,56.4,
Franklin County Schools,350312,Cedar Creek Middle,North Central,Y,52.9,C,Not Met,52.8,
Franklin County Schools,350316,Edward Best Elementary,North Central,Y,67.6,B,Met,66.3,
Franklin County Schools,350317,Franklin County Early College,North Central,,43.6,A,Met,82,92.3
Franklin County Schools,350318,Franklinton Elementary,North Central,Y,79.3,C,Met,46.8,
Franklin County Schools,350321,Franklinton High,North Central,,42.3,B,Met,54.3,83.4
Franklin County Schools,350324,Franklinton Middle,North Central,Y,68.3,C,Met,45.4,
Franklin County Schools,350330,Laurel Mill Elementary,North Central,Y,78.1,C,Met,55.2,
Franklin County Schools,350331,Long Mill Elementary,North Central,Y,58.8,B,Exceeded,66.4,
Franklin County Schools,350332,Louisburg Elementary,North Central,Y,85.2,C,Met,46.9,
Franklin County Schools,350336,Louisburg High,North Central,,56.5,C,Not Met,47.5,88.5
Franklin County Schools,350338,Terrell Lane Middle,North Central,Y,71.9,C,Not Met,52,
Franklin County Schools,350339,Royal Elementary,North Central,Y,73.4,C,Met,49.5,
Franklin County Schools,350340,Youngsville Elementary,North Central,Y,45.2,B,Met,67.6,
Gaston County Schools,360310,Ashbrook High,Southwest,,60.7,B,Exceeded,53.4,87.3
Gaston County Schools,360320,Belmont Central Elementary,Southwest,,27.6,B,Exceeded,75.6,
Gaston County Schools,360324,Belmont Middle,Southwest,,31.1,B,Exceeded,72.3,
Pasquotank County Schools,700319,Pasquotank County High,Northeast,,57.1,D,Not Met,30.3,80.7
Charlotte-Mecklenburg Schools,600520,Sedgefield Middle,Southwest,Y,57.3,D,Met,27.3,
Gaston County Schools,360337,Gaston Early College High School,Southwest,,36.4,A,Exceeded,>95,>95
Lexington City Schools,291352,Southwest Elementary School,Piedmont-Triad,Y,57.3,D,Not Met,50.4,
Gaston County Schools,360339,W B Beam Intermediate School,Southwest,Y,51.6,C,Not Met,51.4,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,Y,57.6,D,Met,33.1,
Gaston County Schools,360344,Carr Elementary,Southwest,Y,47.8,C,Not Met,58.7,
Gaston County Schools,360348,Catawba Heights Elementary,Southwest,Y,55,C,Met,58.2,
Gaston County Schools,360352,Chapel Grove Elementary,Southwest,Y,50.5,C,Met,46.2,
Gaston County Schools,360360,Cherryville High,Southwest,,47.3,B,Met,66.4,87.7
Gaston County Schools,360364,Cherryville Elementary,Southwest,Y,59.4,B,Met,78.5,
Gaston County Schools,360372,Warlick Academy,Southwest,Y,55.2,ALT,,,
Gaston County Schools,360376,Costner Elementary,Southwest,Y,49.5,C,Met,55.8,
Gaston County Schools,360378,Stuart W Cramer High,Southwest,,37.3,B,Exceeded,64.2,88.2
Gaston County Schools,360380,Cramerton Middle,Southwest,,24.1,B,Exceeded,79.2,
Gaston County Schools,360390,East Gaston High,Southwest,,39.3,B,Exceeded,67,85.8
Vance County Schools,910370,Vance County High School,North Central,,57.7,D,Not Met,23.6,84.8
Gaston County Schools,360394,Webb Street School,Southwest,,58.8,ALT,,,
Gaston County Schools,360396,Forestview High,Southwest,,34.1,B,Exceeded,66,92.7
Gaston County Schools,360400,Gardner Park Elementary,Southwest,Y,44.5,C,Exceeded,52.4,
Wayne County Public Schools,960338,Grantham Middle,Southeast,Y,57.9,D,Not Met,45.2,
Gaston County Schools,360418,Highland Sch of Technology,Southwest,,24.7,A,Exceeded,>95,>95
Gaston County Schools,360420,Hawks Nest STEAM Academy,Southwest,,27.9,B,Met,78.4,
Gaston County Schools,360426,Holbrook Middle,Southwest,,65.3,C,Exceeded,55.8,
Gaston County Schools,360428,Hunter Huss High,Southwest,,71.2,C,Met,37.6,78.9
Gaston County Schools,360430,J B Page Primary School,Southwest,,24.1,B,,,
Gaston County Schools,360431,John Chavis Middle School,Southwest,,57.8,C,Met,55.5,
Gaston County Schools,360432,Kiser Elementary,Southwest,Y,54.9,C,Not Met,52.7,
Gaston County Schools,360436,Bessemer City Middle,Southwest,Y,51.2,C,Exceeded,43.9,
Guilford County Schools,410310,Allen Jay Elementary,Piedmont-Triad,Y,58,D,Met,45.1,
Gaston County Schools,360440,Lowell Elementary,Southwest,Y,60.3,C,Not Met,51.6,
Gaston County Schools,360448,McAdenville Elementary,Southwest,Y,55,C,Met,55.6,
Gaston County Schools,360456,Mount Holly Middle,Southwest,,44.2,C,Met,61.1,
Gaston County Schools,360464,New Hope Elementary,Southwest,,27.3,B,Exceeded,72,
Gaston County Schools,360468,North Belmont Elementary,Southwest,Y,42.8,C,Met,50.3,
Gaston County Schools,360470,North Gaston High,Southwest,,49.5,C,Not Met,48.1,82.6
Gaston County Schools,360478,Pinewood Elementary,Southwest,Y,43.7,C,Met,61.5,
Bertie County Schools,080314,Bertie Middle,Northeast,Y,58.2,D,Not Met,45,
Gaston County Schools,360482,Ida Rankin Elementary School,Southwest,Y,50.7,B,Exceeded,61.4,
Gaston County Schools,360488,Robinson Elementary,Southwest,Y,49.2,C,Exceeded,59.3,
Charlotte-Mecklenburg Schools,600365,Devonshire Elementary,Southwest,Y,58.2,D,Not Met,42.4,
Guilford County Schools,410325,Swann Middle School,Piedmont-Triad,Y,58.2,D,Not Met,44.2,
Gaston County Schools,360494,South Point High,Southwest,,23.7,B,Exceeded,74.2,90.1
Gaston County Schools,360498,Southwest Middle,Southwest,Y,49.2,C,Exceeded,50.7,
Gaston County Schools,360499,Springfield Primary,Southwest,Y,37.6,C,,,
Gaston County Schools,360500,Stanley Middle,Southwest,,45.9,B,Exceeded,62.2,
Gaston County Schools,360504,Tryon Elementary,Southwest,Y,47.6,C,Met,49.7,
Gaston County Schools,360510,W A Bess Elementary School,Southwest,,33.3,B,Exceeded,75.6,
Gaston County Schools,360514,W C Friday Middle School,Southwest,,53.7,C,Exceeded,57.3,
Hertford County Schools,460318,Hertford County Middle,Northeast,Y,58.2,D,Exceeded,28.5,
Martin County Schools,580312,E J Hayes Elementary,Northeast,Y,58.2,D,Met,44.5,
Gaston County Schools,360550,Gaston Virtual Academy,Southwest,,<5,C,Met,55.1,
Gates County Schools,370304,Buckland Elementary,Northeast,Y,52.4,C,Met,56.5,
Gates County Schools,370308,Central Middle School,Northeast,,49,C,Not Met,55.6,
Gates County Schools,370312,Gates County Senior High,Northeast,,45.4,C,Not Met,50.7,82.5
Gates County Schools,370316,Gatesville Elementary,Northeast,Y,61.3,B,Met,63.6,
Wake County Schools,920561,South Garner High,North Central,,58.2,D,Met,37.7,
Graham County Schools,380306,Robbinsville Elementary,Western,Y,68.4,C,Met,53.9,
Graham County Schools,380308,Robbinsville High,Western,,52.5,C,Met,54.9,84
Graham County Schools,380310,Robbinsville Middle,Western,,63.9,C,Met,49.6,
Durham Public Schools,320320,Glenn Elementary,North Central,Y,58.3,D,Not Met,32.5,
Harnett County Schools,430336,Erwin Elementary,North Central,Y,58.4,D,Met,46.3,
Guilford County Schools,410544,Ben L. Smith High School,Piedmont-Triad,Y,58.6,D,Met,27.7,77.3
Granville County Schools,390314,Phoenix Academy,North Central,,78,ALT,,,
Forsyth County Schools,340428,Konnoak Elementary,Piedmont-Triad,Y,58.7,D,Exceeded,41.6,
Granville County Schools,390320,G. C. Hawley Middle,North Central,,39.5,C,Not Met,56.4,
Rowan-Salisbury Schools,800410,West Rowan Middle,Southwest,,58.7,D,Not Met,43.5,
Granville County Schools,390322,Granville Central High,North Central,,55.1,C,Exceeded,47.5,77.6
Granville County Schools,390323,Granville Early College High,North Central,,35.7,A,Exceeded,94.3,>95
Granville County Schools,390324,J. F. Webb High,North Central,,71.1,C,Met,27.3,76.1
Montgomery County Schools,620339,West Middle,Sandhills,,59,D,Not Met,45.9,
Granville County Schools,390333,Mount Energy Elementary,North Central,Y,55.1,B,Exceeded,66.8,
Charter Schools,26C000,The Capitol Encore Academy,Sandhills,Y,59.1,D,Not Met,46.8,
Granville County Schools,390336,Joe Toler-Oak Hill Elementary,North Central,Y,65.9,C,Not Met,58.5,
Granville County Schools,390352,South Granville High,North Central,,38.5,C,Met,51.8,84.1
Johnston County Schools,510332,Corinth-Holders Elementary,North Central,Y,59.1,D,Not Met,44.3,
Granville County Schools,390362,Tar River Elementary,North Central,Y,44.4,C,Not Met,63.9,
Johnston County Schools,510330,Cooper Academy,North Central,Y,59.2,D,Met,31,
Granville County Schools,390368,Wilton Elementary,North Central,Y,44.7,B,Exceeded,74.2,
Granville County Schools,390700,JF Webb HS Of Health And Life Sciences,North Central,,42.8,C,Not Met,40,>95
Greene County Schools,400308,Greene Central High,Southeast,,64.9,C,Exceeded,38,>95
Harnett County Schools,430347,Harnett Central Middle,North Central,,59.3,D,Not Met,46.9,
Greene County Schools,400315,Greene Early College High,Southeast,,56.7,A,Exceeded,87.5,
Greene County Schools,400318,Greene County Intermediate,Southeast,Y,72.9,C,Met,44.3,
Guilford County Schools,410316,Allen Middle,Piedmont-Triad,Y,59.5,D,Not Met,39.2,
Guilford County Schools,410496,Northwood Elementary,Piedmont-Triad,Y,59.5,D,Met,38.4,
Guilford County Schools,410304,Alamance Elementary,Piedmont-Triad,,37.7,B,Met,73.2,
Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,Piedmont-Triad,Y,59.6,D,Not Met,41.6,
Durham Public Schools,320352,Merrick-Moore Elementary,North Central,Y,59.6,D,Met,34.7,
Guilford County Schools,410311,Allen Jay Middle - A Preparatory Academy,Piedmont-Triad,,41.4,C,Met,60.1,
Guilford County Schools,410367,Ferndale Middle,Piedmont-Triad,Y,59.7,D,Not Met,34.2,
Durham Public Schools,320388,W G Pearson Elementary,North Central,Y,59.9,D,Met,39.8,
Guilford County Schools,410319,T Wingate Andrews High,Piedmont-Triad,Y,60.3,C,Met,29,87
Guilford County Schools,410322,Archer Elementary,Piedmont-Triad,Y,54.5,C,Exceeded,55.2,
Charter Schools,60V000,Charlotte Learning Academy,Southwest,Y,52.5,F,Not Met,17.3,88.2
Guilford County Schools,410326,Middle College High at Bennett,Piedmont-Triad,,46.8,A,Exceeded,76.1,>95
Charlotte-Mecklenburg Schools,600546,Statesville Road Elementary,Southwest,Y,60,D,Not Met,40,
Charter Schools,49D000,Success Institute Charter,Southwest,Y,60,D,Met,35,
Charter Schools,80B000,Essie Mae Kiser Foxx Charter,Southwest,Y,60,F,Met,9.5,
Guilford County Schools,410337,Brooks Global Elementary,Piedmont-Triad,,39.8,B,Met,80.5,
Guilford County Schools,410340,Monticello-Brown Summit Elem,Piedmont-Triad,Y,65.7,C,Exceeded,47.8,
Guilford County Schools,410341,Brown Summit Middle,Piedmont-Triad,,16.9,A,Met,>95,
Guilford County Schools,410343,Claxton Elementary,Piedmont-Triad,,35.1,B,Met,69.1,
Guilford County Schools,410346,Colfax Elementary,Piedmont-Triad,,32.5,B,Met,79.7,
Gaston County Schools,360332,Bessemer City Central Elem,Southwest,Y,60.2,D,Not Met,33.1,
Guilford County Schools,410355,James B Dudley High,Piedmont-Triad,Y,63.4,C,Exceeded,35.8,83.1
Guilford County Schools,410358,Eastern Guilford High,Piedmont-Triad,,63.8,C,Met,36,87.7
Guilford County Schools,410361,Erwin Montessori,Piedmont-Triad,Y,78.5,C,Met,59.4,
Thomasville City Schools,292316,Liberty Drive Elementary,Piedmont-Triad,Y,60.2,D,Not Met,29.8,
Wake County Schools,920440,Green Elementary,North Central,Y,60.2,D,Met,44.4,
Wake County Schools,920601,Wendell Middle,North Central,,60.2,D,Not Met,44.2,
Guilford County Schools,410370,Florence Elementary,Piedmont-Triad,,41.8,B,Met,69.3,
Cumberland County Schools,260425,South View Middle,Sandhills,Y,60.3,D,Not Met,40.4,
Edgecombe County Public School,330304,G W Bulluck Elementary,North Central,Y,60.3,D,Met,41.4,
Guilford County Schools,410379,Gateway Education Center,Piedmont-Triad,,64.4,ALT,,,
Guilford County Schools,410382,Gibsonville Elementary,Piedmont-Triad,,52.3,B,Met,66.3,
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,Y,60.5,D,Met,36,
Guilford County Schools,410388,General Greene Elementary,Piedmont-Triad,,38.3,B,Met,70.9,
Guilford County Schools,410390,GC Middle College High,Piedmont-Triad,,38.7,A,,,>95
Guilford County Schools,410391,Penn-Griffin Schools,Piedmont-Triad,,65.5,C,Not Met,50.9,>95
Guilford County Schools,410394,Grimsley High,Piedmont-Triad,,40.1,B,Met,67.2,84.9
Guilford County Schools,410395,Early College at Guilford,Piedmont-Triad,,6,A,Met,>95,>95
Rowan-Salisbury Schools,800328,Corriher Lipe Middle,Southwest,,60.6,D,Not Met,43.7,
Wake County Schools,920320,Aversboro Elementary,North Central,Y,60.8,D,Not Met,43.7,
Guilford County Schools,410399,Middle College at GTCC-Greensboro,Piedmont-Triad,,48.9,A,Exceeded,84.7,>95
Guilford County Schools,410400,Guilford Elementary,Piedmont-Triad,Y,51.5,C,Met,58,
Guilford County Schools,410401,GTCC Middle College High,Piedmont-Triad,,42.9,A,Exceeded,75,>95
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,Y,60.9,D,Met,35.3,
Gaston County Schools,360526,York Chester Middle,Southwest,Y,60.9,D,Met,45.5,
Guilford County Schools,410406,High Point Central High,Piedmont-Triad,Y,65.2,C,Exceeded,43.3,85.1
Guilford County Schools,410407,Kearns Academy,Piedmont-Triad,,38.4,B,Exceeded,71.2,
Guilford County Schools,410408,Middle College at GTCC-High Point,Piedmont-Triad,,45.7,B,Met,61.2,>95
Guilford County Schools,410409,Hunter Elementary,Piedmont-Triad,Y,66.7,C,Met,54.6,
Guilford County Schools,410412,Irving Park Elementary,Piedmont-Triad,Y,53.8,C,Met,50.5,
Guilford County Schools,410538,Sedgefield Elementary,Piedmont-Triad,Y,60.9,D,Not Met,38.6,
Guilford County Schools,410418,Jamestown Elementary,Piedmont-Triad,Y,49.8,B,Exceeded,61.6,
Guilford County Schools,410421,Jamestown Middle,Piedmont-Triad,,58.9,C,Not Met,54.2,
Guilford County Schools,410423,Jefferson Elementary,Piedmont-Triad,Y,48.1,C,Met,59.1,
Guilford County Schools,410424,Jesse Wharton Elem,Piedmont-Triad,,34.8,B,Not Met,70.3,
Guilford County Schools,410427,Johnson Street Global Studies,Piedmont-Triad,Y,60.5,C,Exceeded,45.8,
Guilford County Schools,410430,David D Jones Elementary,Piedmont-Triad,Y,48.7,B,Exceeded,67.3,
Guilford County Schools,410436,James Y Joyner Elementary,Piedmont-Triad,Y,55.7,C,Exceeded,52.7,
Guilford County Schools,410437,Kernodle Middle,Piedmont-Triad,,25.9,B,Exceeded,79,
Lexington City Schools,291332,Lexington Middle School,Piedmont-Triad,Y,60.9,D,Exceeded,43.3,
Guilford County Schools,410442,Kiser Middle,Piedmont-Triad,Y,57.3,C,Exceeded,61.8,
Guilford County Schools,410448,Lincoln Academy,Piedmont-Triad,,56.8,C,Met,64.3,
Guilford County Schools,410451,John Van Lindley Elementary,Piedmont-Triad,,54.1,B,Met,65.2,
Guilford County Schools,410454,Madison Elementary,Piedmont-Triad,Y,71.7,C,Met,57.6,
Guilford County Schools,410457,Herbin Metz Education Center,Piedmont-Triad,,72.1,ALT,,,
Guilford County Schools,410458,C Joyner Greene Education Center,Piedmont-Triad,,32.6,ALT,,,
Wake County Schools,920413,Forestville Road Elementary,North Central,Y,60.9,D,Not Met,40.8,
Guilford County Schools,410461,McLeansville Elementary,Piedmont-Triad,,49.9,C,Met,47.9,
Charter Schools,34D000,Carter G Woodson School,Piedmont-Triad,Y,67.3,F,Not Met,26.3,83.3
Guilford County Schools,410463,Mendenhall Middle,Piedmont-Triad,,57.8,C,Met,54.9,
Guilford County Schools,410464,Haynes Inman Education Center,Piedmont-Triad,,58.6,ALT,,,
Guilford County Schools,410466,Millis Road Elementary,Piedmont-Triad,,40.9,B,Exceeded,74.1,
Gaston County Schools,360338,Bessemer City Primary,Southwest,Y,61,D,,,
Guilford County Schools,410472,Morehead Elementary,Piedmont-Triad,Y,69.1,B,Met,72,
Charter Schools,09A000,Paul R Brown Leadership Academy,Sandhills,Y,72.3,F,Met,27.3,
Guilford County Schools,410481,Nathanael Greene Elementary,Piedmont-Triad,,42,C,Not Met,51.5,
Guilford County Schools,410483,Middle College at NC A&T,Piedmont-Triad,,54.9,C,Met,59.1,
Guilford County Schools,410484,Northeast Guilford High,Piedmont-Triad,Y,74.3,C,Exceeded,37.7,87.4
Guilford County Schools,410486,Northern Guilford Elementary,Piedmont-Triad,,11.6,B,Not Met,84.8,
Charter Schools,42A000,KIPP Halifax College Prep,Northeast,Y,61.2,D,Met,44.4,
Guilford County Schools,410488,Northern Guilford Middle,Piedmont-Triad,,25.4,B,Exceeded,76.1,
Guilford County Schools,410489,Northern Guilford High,Piedmont-Triad,,16,B,Not Met,72.2,94.4
Guilford County Schools,410490,Northwest Guilford High,Piedmont-Triad,,11.8,A,Exceeded,77.1,>95
