code,name,eog_score_EDS
110436,West Buncombe Elementary,63.3
110444,Woodfin Elementary,47.6
110450,Koontz Intermediate,42.7
110451,Eblen Intermediate,51.3
110500,Nesbitt Discovery Academy,>95
111304,Hall Fletcher Elementary,36.6
111306,Isaac Dickson Elementary,40
111307,Asheville Primary,N/A
111312,Claxton Elementary,42.4
111332,Ira B Jones Elementary,32.6
111356,Asheville Middle,32.8
111360,Vance Elementary,44.8
111369,Montford North Star Academy,46.9
111700,School of Inquiry and Life Sciences,58.1
120308,Hallyburton Academy,N/A
120310,Burke Middle College,N/A
120312,Drexel Elementary,66
120314,East Burke High,55
120315,East Burke Middle,53.3
120316,Forest Hill Elementary,48.8
120318,Freedom High,51.7
120320,George Hildebrand Elementary,61.5
120324,Glen Alpine Elementary,52
120334,Heritage Middle,58.7
120338,Hildebran Elementary,54
120340,Hillcrest Elementary,50.5
120344,Icard Elementary,66.8
120346,Jimmy C Draughn High School,48.3
120350,Liberty Middle,50.8
120352,North Liberty,N/A
120354,Mountain View Elementary,40
120360,Mull Elementary,43.3
120364,Oak Hill Elementary,41.1
120368,Ray Childers Elementary,58.1
120370,Robert L. Patton High School,53.7
120374,Salem Elementary,61.5
120376,Table Rock Middle,55.6
120380,Valdese Elementary,59.9
120386,W A Young Elementary,37
120390,Walter R Johnson Middle,49.6
130304,A T Allen Elementary,54.5
130307,Cox Mill High School,59.1
130308,Bethel Elementary,46.4
130309,Beverly Hills Elementary,48.2
130310,Central Cabarrus High,44.3
130311,Coltrane-Webb Elementary,39.7
130312,Harrisburg Elementary,48.9
130313,Concord Middle,24.1
130314,Concord High,35.3
130315,J N Fries Magnet School,55.7
130316,Jay M Robinson High,33.8
130317,Cabarrus Co Opportunity School,N/A
130318,C C Griffin Middle,46.9
130319,Cox Mill Elementary,59.5
130320,Harris Road Middle,62.4
130321,Carl A Furr Elementary,53.8
130322,Mount Pleasant Elementary,49.6
130323,Mount Pleasant Middle,53.6
130324,Mount Pleasant High,43.4
130325,Charles E Boger Elementary,44.5
130326,Northwest Cabarrus High,55
130327,Northwest Cabarrus Middle,46.2
130328,Royal Oaks Elementary,27.4
130329,Rocky River Elementary,36.3
130330,R Brown McAllister Elementary,53.9
130331,Pitts School Road Elementary,49.2
130332,Hickory Ridge High,52.6
130333,Performance Learning Center,N/A
130336,W R Odell Primary,N/A
130337,W R Odell Elementary,62.9
130338,Weddington Hills Elementary,51.8
130340,Winecoff Elementary,34.1
130342,W M Irvin Elementary,30.4
130344,Wolf Meadow Elementary,45.8
130345,Patriots Elementary,53.9
130346,Hickory Ridge Middle,60.9
130349,Cabarrus Early College of Technology,73.6
130350,Cabarrus-Kannapolis Early Coll,86.7
130355,Harold E. Winkler Middle,52.3
132308,Forest Park Elementary,45
132312,Fred L Wilson Elementary,37.8
132314,GW Carver Elementary,34.9
132328,Jackson Park Elementary,33.1
132330,Kannapolis Middle,33
132332,Shady Brook Elementary,33.8
132336,Woodrow Wilson Elementary,36.9
140304,Baton Elementary,60.2
140305,Caldwell Career Cen Mid. Coll.,75.4
140306,Gateway School,N/A
140307,Horizons Elementary,N/A
140308,Collettsville School,56.8
140309,Caldwell Early College,94.3
140312,Davenport A+ School,46.1
140316,Dudley Shoals Elementary,51.4
140324,Gamewell Elementary,44.1
140332,Gamewell Middle,43.4
140336,Granite Falls Middle,45.9
140340,Granite Falls Elementary,56.9
140344,Happy Valley Elementary,44.3
140348,Hibriten High,46.4
140352,Hudson Elementary,58.8
140356,Hudson Middle,53.9
140360,Kings Creek Elementary,52.9
140368,William Lenoir Middle,46.9
140372,Lower Creek Elementary,48.1
140376,Oak Hill Elementary,44.1
140384,Sawmills Elementary,61.7
140386,South Caldwell High,44.5
150304,Camden County High,42.6
140388,Valmead Elementary,N/A
140390,West Caldwell High,35.3
140392,West Lenoir Elementary,29.3
140396,Whitnel Elementary,46
150308,Grandy Primary,71.6
150310,Camden Intermediate,57.3
150312,Camden Middle,53.9
150350,Camden Early College High,N/A
160304,Atlantic Elementary,67.2
160306,Bogue Sound Elementary,60.6
160308,Beaufort Elementary,63.3
160309,Bridges School,N/A
160310,Beaufort Middle,60.1
160311,Broad Creek Middle,64.8
160313,East Carteret High,68.3
170316,Bartlett Yancey High,21
160314,Croatan High,64.1
160316,Harkers Island Elementary,79.7
160317,Morehead Elem at Camp Glenn,58.8
160318,Morehead City Middle,58.2
160322,Morehead City Primary,71.5
160324,Newport Elementary,56.3
160326,Newport Middle,70.4
160332,Down East Middle and Smyrna Elementary,64
160343,Marine Sci. & Tech. Early College HS,86.2
160344,West Carteret High,60.8
160352,White Oak Elementary,64.6
170334,North Elementary,60
170338,N L Dillard Middle,27.1
170339,Oakwood Elementary,37.5
170342,South Elementary,41.3
170344,Stoney Creek Elementary,31.4
180302,Harry M Arndt Middle,51.1
180304,Balls Creek Elementary,55.1
180308,Bandys High,55.1
180312,Banoak Elementary,51
180316,Blackburn Elementary,47.8
180320,Bunker Hill High,39.7
180323,Catawba Rosenwald Education Center,N/A
180324,Catawba Elementary School,43.6
180325,Challenger Early College High,94.3
180326,Charles H Tuttle Elementary,53.8
180332,Claremont Elementary,44.4
180336,Clyde Campbell Elementary,42.6
180340,Fred T Foard High,49
180342,Jacobs Fork Middle,51.9
180343,Lyle Creek Elementary,47.1
180344,Maiden Elementary,51.8
180346,Maiden Middle School,48.5
180348,Maiden High,38
180352,Mill Creek Middle,46
180356,Mountain View Elementary,57.4
180360,Oxford Elementary,47.8
180364,River Bend Middle,49.5
180368,Sherrills Ford Elementary,53.4
180372,Saint Stephens Elementary,44.6
180376,Saint Stephens High,47.2
180379,Snow Creek Elementary,53.6
180380,Startown Elementary,54.4
180388,Webb A Murray Elementary,46.8
181312,Northview Middle,43.1
181316,Grandview Middle,47.4
181318,Hickory Career Arts Magnet High School,52.2
181326,W M Jenkins Elementary,44.4
181332,Longview Elementary,62.7
181336,Oakwood Elementary,52.8
181342,Southwest Primary,N/A
181344,Viewmont Elementary,50.6
182304,Conover Special Education,N/A
182316,Newton-Conover High,43.9
182321,Newton-Conover Middle,47.3
182322,Shuford Elementary,70.2
182324,South Newton Elementary,50.4
182328,North Newton Elementary,39.9
182700,Discovery High School,N/A
190304,Bennett School,60
190308,Bonlee School,53.2
190310,SAGE Academy,N/A
190312,Chatham Middle,39.6
190316,Chatham Central High,40.8
190328,Horton Middle,40.1
190332,J S Waters School,59.2
190336,Jordan Matthews High,38.2
190339,Margaret B. Pollard Middle,37.2
190340,Moncure School,40.6
190341,North Chatham Elementary,36.8
190342,Northwood High,29.4
190346,Perry W Harrison Elementary,45
190348,Pittsboro Elementary,47.9
190350,Siler City Elementary,59.9
190352,Silk Hope School,53.2
190370,Virginia Cross Elementary,48.4
190501,Chatham School of Science & Engineering,N/A
200304,Andrews Elementary,60
200308,Andrews High,70.6
200310,Andrews Middle,61.6
200312,Hiwassee Dam Elementary/Middle,66
200320,Martins Creek Elementary/Mid,54.7
200322,The Oaks Academy,N/A
200324,Murphy Elementary,47.2
200328,Murphy High,40.3
200330,Murphy Middle,55.5
200332,Peachtree Elementary,61.8
200336,Ranger Elementary/Middle,47.7
200350,Tri-County Early College High,N/A
210304,Chowan Middle,43.9
210306,D F Walker Elementary,50.5
210312,John A Holmes High,42.8
210316,White Oak Elementary,N/A
220308,Hayesville Elementary,61.4
600364,Military and Global Leadership Academy,33.3
220312,Hayesville Middle,46.8
230304,Bethware Elementary,49.4
230308,Boiling Springs Elementary,54.8
230312,Burns High,35.7
230316,Burns Middle,57.3
230320,Casar Elementary,59.2
230322,Cleveland ECHS,88.5
230324,Crest High,36.6
230328,Crest Middle,54.8
230330,Turning Point Academy,N/A
230334,East Elementary,54.5
230336,Shelby Intermediate,33.8
230340,Fallston Elementary,43.6
230342,Graham Elementary,18.3
230344,Grover Elementary,65
230346,James Love Elementary,42.4
230348,Jefferson Elementary,52.8
230350,Kings Mountain High,52.9
230351,Kings Mountain Intermediate,53.9
230352,Kings Mountain Middle,53.9
230355,Marion Elementary,56.3
230357,North Elementary,47.2
230359,North Shelby,N/A
600386,Hawthorne Academy of Health Sciences,43.6
230362,Shelby Middle,50.8
230364,Springmore Elementary,58
230368,Township Three Elementary,47.2
230370,Union Elementary,47.6
230376,Washington Elementary,64.4
230380,West Elementary,60.8
240304,Acme Delco Middle,47.7
240308,Acme Delco Elementary,45.4
240328,Cerro Gordo Elementary,50.7
240332,Chadbourn Elementary,47
600405,Harding University High,26
240344,Evergreen Elementary,43.9
240352,Guideway Elementary,68.9
240354,Hallsboro-Artesia Elementary,57.4
240356,Hallsboro Middle,43.1
240368,Nakina Middle,63.5
240370,Old Dock Elementary,55.7
240371,South Columbus High,37.4
240372,Tabor City Elementary,44.1
240373,CCCA - Fair Bluff /Southeastern Campuses,55.7
240376,Tabor City Middle,29.7
240380,West Columbus High,45.9
240388,Williams Township,44.7
241304,Central Middle,60.5
241308,Edgewood Elementary,54.3
241312,North Whiteville Academy,N/A
241316,Whiteville High,49.6
241320,Whiteville Primary,N/A
250304,Albert H Bangert Elementary,65
250306,Ben D Quinn Elementary,49.2
250308,Bridgeton Elementary,39.3
250312,Brinson Memorial Elementary,43.2
250314,Craven Early College High,78
250316,Creekside Elementary,61
250320,Vanceboro-Farm Life Elementary,38.8
250321,Early College EAST High,N/A
250324,Grover C Fields Middle,42.3
250328,Graham A Barden Elementary,71.9
250332,H J MacDonald Middle,40
250336,Havelock Elementary,49
250340,Havelock High,55.4
250344,Havelock Middle,42.2
250348,J T Barber Elementary,26.7
250350,James W Smith Elementary,45.7
250356,New Bern High,43.9
250360,Oaks Road Academy,30.8
250362,Roger Bell New Tech Academy,40.4
250364,Trent Park Elementary,48.3
250368,Tucker Creek Middle,60.8
250372,West Craven High,37.5
250376,West Craven Middle,32.8
250378,W Jesse Gurganus Elementary,69.3
250380,Arthur W Edwards Elementary,54.6
260302,Alma O Easom Elementary,N/A
260306,Armstrong Elementary,58.4
260308,Ashley Elementary,36.9
260310,Loyd E Auman Elementary,32.1
260312,Beaver Dam Elementary,88.6
260316,Lillian Black Elementary,43.3
260318,Jack Britt High,46
260320,Brentwood Elementary,51.5
260321,Douglas Byrd Middle,29.4
600466,Myers Park High,30.8
260325,Cape Fear High,55.4
260326,Elizabeth M Cashwell Elementary,55.1
260332,Eastover-Central Elementary,67.9
260336,Anne Chesnutt Middle,33.2
260338,Cliffdale Elementary,44.8
260340,College Lakes Elementary,51
260342,C Wayne Collier Elementary,46.3
260344,J W Coon Elementary,46.9
260347,Cumberland International Early College,85.5
260348,Cumberland Mills Elementary,50.3
260352,Cumberland Road Elementary,44.4
260354,Cross Creek Early College,94.2
260356,District No 7 Elementary,61.5
260357,Grays Creek High,46.8
260358,Luther Nick Jeralds Middle,35.1
260359,E E Smith High,38.8
260361,Ferguson-Easley Elementary,34.3
260362,Grays Creek Middle,43.1
260363,Glendale Acres Elementary,N/A
260364,Alderman Road Elementary,42.4
260365,R Max Abbott Middle,41.3
260366,Howard L Hall Elementary,52.5
260367,Bill Hefner Elementary,41.1
260368,Hope Mills Middle,38.8
260369,John R Griffin Middle,54.1
260370,Ed V Baldwin Elementary,36
260371,Ireland Drive Middle,42.8
260372,Lewis Chapel Middle,32.5
260373,Gallberry Farm Elementary,51.3
260374,Alger B. Wilkins High School,N/A
260375,Grays Creek Elementary,59.3
260380,Long Hill Elementary,59.7
260382,Lucile Souders Elementary,47.7
260383,Mac Williams Middle,47.9
260386,Margaret Willis Elementary,38.4
260388,Massey Hill Classical High,64.6
260396,Mary McArthur Elementary,39.9
260397,E Melvin Honeycutt Elementary,54.1
260398,E E Miller Elementary,57
260400,Montclair Elementary,44.2
260401,Morganton Road Elementary,37.6
260402,Manchester Elementary,40.6
260403,New Century International Elementary,56.6
260404,William H Owen Elementary,37.3
260405,Walker-Spivey Elementary,43.5
260406,Pine Forest Middle,46
