code,name,eog_score_white
360378,Stuart W Cramer High,67.4
360380,Cramerton Middle,82.4
360390,East Gaston High,66.8
360392,Edward D Sadler Jr Elementary School,51.9
360394,Webb Street School,N/A
360396,Forestview High,72.3
360400,Gardner Park Elementary,63.3
360408,W P Grier Middle School,56.7
360418,Highland Sch of Technology,>95
360420,Hawks Nest STEAM Academy,80.2
360426,Holbrook Middle,62.9
360428,Hunter Huss High,44.5
360430,J B Page Primary School,N/A
360431,John Chavis Middle School,56.9
360432,Kiser Elementary,54.1
360436,Bessemer City Middle,48.8
360438,Lingerfeldt Elementary,45
360440,Lowell Elementary,58.7
360448,McAdenville Elementary,60.8
360456,Mount Holly Middle,65.1
360464,New Hope Elementary,74
360468,North Belmont Elementary,57.1
360470,North Gaston High,50.4
360478,Pinewood Elementary,63.2
360480,Pleasant Ridge Elementary,75.2
360482,Ida Rankin Elementary School,66
360488,Robinson Elementary,67.4
360490,Sherwood Elementary,58.5
360492,H H Beam Elementary,40.5
360494,South Point High,75.4
360498,Southwest Middle,61.5
360499,Springfield Primary,N/A
360500,Stanley Middle,64.2
360504,Tryon Elementary,49.2
360510,W A Bess Elementary School,78.7
360514,W C Friday Middle School,60.9
360520,Woodhill Elementary,42.2
360526,York Chester Middle,46.8
360550,Gaston Virtual Academy,51.3
370304,Buckland Elementary,63.3
370308,Central Middle School,62.4
370312,Gates County Senior High,53.1
370316,Gatesville Elementary,70.1
370324,T S Cooper Elementary,44.7
380306,Robbinsville Elementary,56.1
380308,Robbinsville High,54.3
380310,Robbinsville Middle,53.5
390309,Butner-Stem Middle,52
390311,Butner-Stem Elementary,52.7
390312,C. G. Credle Elementary,70
390314,Phoenix Academy,N/A
390316,Creedmoor Elementary,51.3
390320,G. C. Hawley Middle,63.4
390321,Granville Academy,53.7
390322,Granville Central High,63.6
390323,Granville Early College High,>95
390324,J. F. Webb High,48.1
390331,Mary Potter Middle,57.5
390333,Mount Energy Elementary,75.2
390334,Northern Granville Middle,34.5
390336,Joe Toler-Oak Hill Elementary,59.6
390352,South Granville High,56.1
390360,Stovall-Shaw Elementary,57.6
390362,Tar River Elementary,68.5
390364,West Oxford Elementary,43.2
390368,Wilton Elementary,77.4
390700,JF Webb HS Of Health And Life Sciences,55.3
400308,Greene Central High,51.7
400312,Greene County Middle,53
400315,Greene Early College High,N/A
400318,Greene County Intermediate,65.7
400321,Snow Hill Primary,N/A
400332,West Greene Elementary,56.9
410304,Alamance Elementary,78
410307,Edwin A Alderman Elementary,76.7
410310,Allen Jay Elementary,51.6
410311,Allen Jay Middle - A Preparatory Academy,78.6
410313,Southern Guilford Middle,62.5
410316,Allen Middle,55.6
410319,T Wingate Andrews High,N/A
410322,Archer Elementary,N/A
410325,Swann Middle School,88.4
410326,Middle College High at Bennett,N/A
410328,Bessemer Elementary,N/A
410331,Bluford Elementary,N/A
410334,Brightwood Elementary,N/A
410337,Brooks Global Elementary,92.7
410340,Monticello-Brown Summit Elem,56.1
410341,Brown Summit Middle,>95
410343,Claxton Elementary,79.5
410346,Colfax Elementary,83
410349,Ceasar Cone Elementary,N/A
410355,James B Dudley High,N/A
410358,Eastern Guilford High,51.4
410361,Erwin Montessori,N/A
410364,Fairview Elementary,N/A
410366,Waldo C Falkener Sr Elementary,N/A
410367,Ferndale Middle,53.6
410370,Florence Elementary,76.3
410373,Julius I Foust Elementary,N/A
410376,Cyrus P Frazier Elementary,N/A
410379,Gateway Education Center,N/A
410382,Gibsonville Elementary,73.3
410385,Gillespie Park Elementary,N/A
410388,General Greene Elementary,81.6
410390,GC Middle College High,N/A
410391,Penn-Griffin Schools,82.5
410394,Grimsley High,83
410395,Early College at Guilford,>95
410397,Western Guilford Middle,66.5
410398,Doris Henderson Newcomers Sch,N/A
410399,Middle College at GTCC-Greensboro,N/A
410400,Guilford Elementary,66.1
410401,GTCC Middle College High,82.2
410402,Otis L Hairston Sr Middle,N/A
410403,Hampton Elem Univ Partnership,N/A
410406,High Point Central High,63.3
410407,Kearns Academy,N/A
410408,Middle College at GTCC-High Point,N/A
410409,Hunter Elementary,73.5
410412,Irving Park Elementary,82.9
410415,Jackson Middle,47.1
410418,Jamestown Elementary,77.8
410421,Jamestown Middle,74.2
410423,Jefferson Elementary,62.1
410424,Jesse Wharton Elem,80
410427,Johnson Street Global Studies,60.6
410430,David D Jones Elementary,94.9
410436,James Y Joyner Elementary,62.9
410437,Kernodle Middle,85
410439,Kirkman Park Elementary,59.4
410442,Kiser Middle,84.4
410448,Lincoln Academy,94.5
410451,John Van Lindley Elementary,82.7
410454,Madison Elementary,67.4
410457,Herbin Metz Education Center,N/A
410458,C Joyner Greene Education Center,N/A
410460,Eastern Guilford Middle,61.8
410461,McLeansville Elementary,57.8
410462,Ronald E. McNair Elementary,62.5
410463,Mendenhall Middle,74.7
410464,Haynes Inman Education Center,N/A
410466,Millis Road Elementary,79.8
410469,Montlieu Academy of Technology,34.4
410472,Morehead Elementary,89.1
410478,Murphey Traditional Academy,N/A
410481,Nathanael Greene Elementary,52.1
410483,Middle College at NC A&T,N/A
410484,Northeast Guilford High,53.4
410486,Northern Guilford Elementary,87.6
410487,Northeast Guilford Middle,46.1
410488,Northern Guilford Middle,85.8
410489,Northern Guilford High,81.9
410490,Northwest Guilford High,80
410491,EP Pearce Elementary,84.2
410493,Northwest Guilford Middle,81.6
410496,Northwood Elementary,57.4
410499,Oak Hill Elementary,52.5
410502,Oak Ridge Elementary,89
410505,Oak View Elementary,52.3
410508,Page High,72.8
410511,Parkview Village Elementary,N/A
410514,Clara J Peck Elementary,N/A
410517,Peeler Open Elementary,N/A
410522,Pilot Elementary,72
410523,Pleasant Garden Elementary,70.6
410529,Lucy Ragsdale High,63.6
410530,Reedy Fork Elementary,63.2
410532,Rankin Elementary,N/A
410533,SCALE School,N/A
410534,Pruette SCALE Academy,N/A
410535,Sedalia Elementary,65.9
410538,Sedgefield Elementary,N/A
410541,Shadybrook Elementary,75.7
410542,George C Simkins Jr Elementary,53.7
410544,Ben L. Smith High School,N/A
410545,Academy at Smith,N/A
410547,Southeast Guilford High,59.2
410550,Southeast Guilford Middle,63.9
410553,Southern Elementary,74.9
410556,Southern Guilford High,51.4
410559,Southwest Elementary,87.2
410562,Southwest Guilford High,61.6
410565,Southwest Guilford Middle,72.5
410568,Sternberger Elementary,82.3
410569,STEM Early College @ NC A&T SU,>95
410571,Stokesdale Elementary,77.5
410574,Summerfield Elementary,89.5
410577,Sumner Elementary,48.3
410578,Triangle Lake Montessori Elem,76.1
410579,UNCG Early/Middle College,N/A
410580,Union Hill Elementary,36.7
410583,Vandalia Elementary,N/A
410586,Washington Elementary,N/A
410589,Philip J Weaver Ed Center,89.1
410592,Welborn Middle,51.7
410595,Western Guilford High,70.3
410598,Wiley Accel/Enrichment,N/A
420304,Aurelian Springs Institute of Global Lea,N/A
420316,Scotland Neck Elementary Leadership Acad,N/A
420324,Enfield Middle S.T.E.A.M. Academy,N/A
420328,Everetts Elementary S.T.E.M. Academy,N/A
420336,Hollister Elementary Leadership Academy,N/A
420340,Inborden Elementary S.T.E.A.M. Academy,N/A
420346,Northwest Halifax Collegiate and Technic,N/A
420348,Pittman Elementary Leadership Academy,N/A
420358,Southeast Halifax Collegiate Prep Academ,N/A
420376,William R Davie Middle S.T.E.M. Academy,65.7
421304,Belmont Elementary School,55.1
421306,Chaloner Middle School,63.6
421316,Roanoke Rapids High School,53
421328,Manning Elementary School,69.1
421336,Roanoke Rapids Early College High,51.4
422310,Roanoke Valley Early College,N/A
422314,Weldon Elementary Global Academy,N/A
422315,Weldon STEM High School Career Academies,N/A
422318,Weldon Middle,N/A
430304,Anderson Creek Primary,N/A
430308,Angier Elementary,55.7
430312,Benhaven Elementary,72.8
430316,Boone Trail Elementary,55.8
430320,Buies Creek Elementary,65.2
430328,Coats Elementary,64.1
430330,Coats-Erwin Middle,69.2
430332,Dunn Middle,60.9
430336,Erwin Elementary,56.9
430340,Gentry Primary,N/A
430341,Harnett Early College (HCEC),73.5
430344,Harnett Primary,71.6
430345,STAR Academy,N/A
430346,Harnett Central High,56.8
430347,Harnett Central Middle,60.2
430348,Johnsonville Elementary,60.8
430349,Highland Elementary,69.7
430351,Highland Middle,61.8
430352,LaFayette Elementary,76.9
430358,Lillington-Shawtown Elementary,60.5
430368,North Harnett Primary,N/A
430369,Overhills Elementary,64.1
430370,Overhills Middle,59.9
430371,Overhills High,57.5
430376,South Harnett Elementary,55.4
430378,Triton High,57
430380,Wayne Avenue Elem,44.7
430384,Western Harnett High,61.3
430386,Western Harnett Middle,60.5
440314,Bethel Elementary,73
440318,Bethel Middle,68.5
440320,Canton Middle,56.8
440326,Central Haywood High,N/A
440328,Clyde Elementary,65.7
440332,Riverbend Elementary,87.8
440346,Haywood Early College,>95
440348,Hazelwood Elementary,62
440349,Jonathan Valley Elementary,66.7
440350,Junaluska Elementary,70.9
440364,Meadowbrook Elementary,64
440368,North Canton Elementary,64.2
440378,Pisgah High,65.8
440390,Tuscola High,56
440396,Waynesville Middle,65.9
450301,Apple Valley Middle,60.4
450302,Atkinson Elementary,81.8
450306,Bruce Drysdale Elementary,67.2
450307,Clear Creek Elementary,75.5
450308,Dana Elementary,60.8
450316,East Henderson High,64.1
450322,Edneyville Elementary,64.3
450324,Etowah Elementary,79.4
450328,Flat Rock Middle,71.1
450332,Fletcher Elementary,75.9
450333,Hendersonville Elementary,87
450334,Hendersonville High,77.9
450335,Hendersonville Middle,79.4
450336,Hillandale Elementary,66.4
450339,Glenn C Marlow Elementary,86.9
450340,Mills River Elementary,82.5
450341,North Henderson High,71.1
450342,Rugby Middle,78.8
450343,Henderson County Career Academy,N/A
450344,Sugarloaf Elementary,59.8
450346,Upward Elementary,63.5
450352,West Henderson High,74.3
450354,Henderson County Early College,>95
460308,Ahoskie Elementary,63.8
460312,Bearfield Primary,78.1
460318,Hertford County Middle,49.4
460320,Hertford County High,N/A
460322,Hertford Co Early College,85.7
460332,Riverview Elementary,N/A
460340,CS Brown High,N/A
470310,Don D Steed Elementary,81
470312,Hoke County High,57.7
470316,J W McLauchlin Elementary,79.2
470320,West Hoke Middle,65.6
470328,Scurlock Elementary,66.4
470330,Hawk Eye Elementary,N/A
470332,East Hoke Middle,56.7
470336,West Hoke Elementary,62.5
470340,Rockfish Hoke Elementary,74.2
470342,J W Turlington School,N/A
470346,Upchurch Elementary,59.5
470441,Sandy Grove Elementary,69.4
470442,Sandy Grove Middle,67.4
470443,SandHoke Early College High,81.6
480306,Mattamuskeet Elementary,58.9
480316,Ocracoke School,86.4
480318,Mattamuskeet Early College High,62.1
490307,Agriculture and Science Early College,87.4
490308,Brawley Middle,72.2
490310,Career Academy and Technical School,43
490312,Celeste Henkel Elementary,70.4
490316,Central Elementary,85
490318,Coddle Creek Elementary,69
490319,Cloverleaf Elementary,50
490320,Collaborative College for Technology,>95
490324,Cool Spring Elementary,84.5
490326,East Iredell Elementary,75.9
490327,East Iredell Middle,55.5
490332,Harmony Elementary,70.1
490335,Lake Norman High,75.8
490336,Lake Norman Elementary,81.8
490337,Lakeshore Elementary,70.3
490338,Lakeshore Middle,65.9
490344,Mount Mourne School,>95
490345,N B Mills Elementary,32.1
490346,North Iredell High,36.4
490347,Northview School,94.8
490348,Scotts Elementary,67.7
490349,North Iredell Middle,65.4
490350,Pressly School,N/A
490352,Statesville Middle,35.5
490354,Statesville High,50.8
490355,Crossroads Arts Sciences Early College,94.9
490356,Sharon Elementary,76.1
490360,Shepherd Elementary,69.1
490362,South Iredell High,65.7
490363,Third Creek Elementary,59.8
490364,Troutman Elementary,67.4
490366,Troutman Middle,58.4
490368,Union Grove Elementary,52
490380,West Iredell High,48
490384,West Iredell Middle,56.5
490390,Woodland Heights Elementary,76
491303,East Mooresville Intermediate,80.2
491305,NF Woods Campus,N/A
491306,Mooresville Intermediate,73.8
491308,Mooresville Middle,74.1
491312,Mooresville High School,73.7
491316,Park View Elementary,76.3
491318,Rocky River Elementary,88.8
491320,South Elementary,82.7
500302,Blue Ridge Early College,52.9
500304,Cullowhee Valley School,62.3
500314,Fairview Elementary,63.7
500316,Blue Ridge School,55.2
500323,Jackson Co Early College,88.9
500324,Jackson Co Sch of Alternatives,N/A
500332,Scotts Creek Elementary,51.7
500337,Smokey Mountain Elementary,49
500340,Smoky Mountain High School,71
510308,Benson Elementary,46.2
510310,Benson Middle,51.2
510324,Clayton High,67.9
510325,Johnston County Schools Career Technical,89.6
510326,West Clayton Elementary,61.8
510327,Cleveland High,73.4
510328,Cleveland Elementary,80
510329,Cleveland Middle,74.2
510330,Cooper Academy,50
510332,Corinth-Holders Elementary,57.1
510333,Corinth Holders High,70.9
510334,Dixon Road Elementary,65.6
510336,East Clayton Elementary,65.2
510340,Four Oaks Elementary,61.3
510342,Four Oaks Middle,60.1
510343,Micro Elementary,45.9
510344,North Johnston Middle,38.7
510356,Glendale-Kenly Elementary,65.1
510358,McGee's Crossroads Elem,60.5
510359,McGee's Crossroads Middle,64
510360,Meadow School,58.3
510364,Archer Lodge Middle,62
510367,Johnston Co Early College Academy,92.5
510368,North Johnston High,48
510372,Pine Level Elementary,56.6
510373,Powhatan Elementary,73
510374,Princeton Elementary,59.2
510376,Princeton High,62.1
510377,River Dell Elementary,71.2
510378,Riverwood Elementary,74.8
510379,Riverwood Middle,72.6
510382,The Innovation Academy at South Campus,66.3
510388,Selma Elementary,44.4
510390,Selma Middle School,32.1
510396,West Smithfield Elementary,37
510397,Smithfield Middle,54.3
510399,Smithfield-Selma High,61.9
510402,South Johnston High,46.3
510404,South Smithfield Elementary,60.4
510406,West Johnston High,62.5
510408,Wilson's Mills Elementary,57.9
510410,Polenta Elementary,58.6
510411,Swift Creek Middle,68.4
510412,Clayton Middle,54.5
510414,West View Elementary,68.8
520304,Pollocksville Elementary,64.9
520308,Comfort Elementary,58.7
520320,Jones Senior High,62.5
520324,Jones Middle,67.5
520328,Maysville Elementary,67.2
520336,Trenton Elementary,75
530302,BT Bullock Elementary,66.7
530306,Bragg Street Academy,N/A
530308,Broadway Elementary,54.2
530312,Deep River Elementary,70.8
530314,East Lee Middle,62.6
530316,Floyd L Knight Children Center,N/A
530320,Greenwood Elementary,70.4
530335,Lee Early College,90
530336,Lee County High,61.3
530340,J Glenn Edwards Elementary,69.5
530341,SanLee Middle School,57.9
530343,Southern Lee High School,56.5
530346,Tramway Elementary,72.7
530354,J R Ingram Jr Elementary,68.6
530356,West Lee Middle,72.3
530358,Warren Williams Elementary Alternative,N/A
540304,Banks Elementary,73.2
540308,Contentnea-Savannah School,64.3
540312,E B Frink Middle,72.9
540315,Kinston High,N/A
540316,La Grange Elementary,59.9
540317,Lenoir County Early College High,88.9
540318,Lenoir County Learning Academy,N/A
540320,Moss Hill Elementary,76.9
540324,North Lenoir High,45.3
540325,Northeast Elementary,N/A
540326,Northwest Elementary,65
540328,Pink Hill Elementary,66.7
540330,Rochelle Middle,N/A
540336,South Lenoir High,58
540338,Southeast Elementary,N/A
540340,Southwood Elementary,62.6
540344,Woodington Middle,59.5
550308,Asbury Academy,N/A
550312,Battleground Elementary,57.3
550314,Catawba Springs Elementary,84
550316,GE Massey Elementary,62.1
550320,East Lincoln High,66.1
550322,East Lincoln Middle,77.1
550328,Iron Station Elementary,64.6
550330,LCST,N/A
550332,Lincolnton High,59.1
550334,Lincolnton Middle,63.3
550336,Love Memorial Elementary,66.5
550340,Childers Elementary,60.6
550342,North Brook Elementary,62.9
550344,North Lincoln High,75.6
550348,Pumpkin Center Primary,N/A
550349,Pumpkin Center Intermediate,69.9
550350,North Lincoln Middle,76
550356,Rock Springs Elementary,84.9
550360,S Ray Lowder Elementary,58.3
550362,St James Elementary,82.9
550364,Union Elementary,79
550368,West Lincoln High,53.5
550372,West Lincoln Middle,59.6
560304,Cartoogechaye Elementary,63.1
560316,East Franklin Elementary,55.5
560320,Franklin High,65.5
560324,Highlands School,77.9
560328,Iotla Valley Elementary,56.3
560329,Macon Early College High School,>95
560330,Macon Middle School,65.2
560331,Mountain View Intermediate,58.3
560332,Nantahala School,68.7
560338,South Macon Elementary,77.2
560350,Union Academy,N/A
570306,Brush Creek Elementary,80.8
570312,Hot Springs Elementary,81.1
570317,Madison Early College High,82.5
570318,Madison High School,46.4
570319,Madison Middle School,57.7
570320,Mars Hill Elementary,73.3
580308,Williamston Primary,N/A
580312,E J Hayes Elementary,70.6
580316,South Creek Elementary,47.4
580324,Jamesville Elementary,64.7
580344,South Creek Middle/High,37.9
580356,Rodgers Elementary,67
580368,Riverside High,54.5
580372,Riverside Middle,51.8
590306,Eastfield Global Magnet School,54.8
590310,East McDowell Middle School,50.5
590316,Glenwood Elementary School,68.1
590320,Marion Elementary School,67.9
590326,McDowell Academy for Innovation,51.1
590328,McDowell Early College,91.6
590330,McDowell High School,62.1
590332,Nebo Elementary School,58.4
590336,North Cove Elementary School,63.8
590340,Old Fort Elementary School,66.5
590344,Pleasant Gardens Elementary School,61
590352,West Marion Elementary School,52
590356,West McDowell Middle School,60.5
590393,Foothills Community School,64.1
600300,Albemarle Road Elementary,N/A
600301,Albemarle Road Middle,44.3
600302,Ardrey Kell High,90.5
600303,Charlotte East Language Academy,N/A
600305,J M Alexander Middle,72.7
600308,Allenbrook Elementary,N/A
600311,Ashley Park PreK-8 School,N/A
600312,William Amos Hough High,86.2
600313,Bailey Middle,89.5
600314,Bain Elementary,88.2
600316,Barringer Academic Center,>95
600317,Whitewater Middle,66.1
600318,Whitewater Academy,55.8
600319,Berryhill School,64.5
600322,Beverly Woods Elementary,87.9
600328,Barnette Elementary,75
600329,Briarwood Elementary,N/A
600333,Carmel Middle,87.2
600334,Cato Middle College High,N/A
600335,Billingsville Elementary,N/A
600336,Chantilly Montessori,85.8
600338,Clear Creek Elementary,70.1
600341,Cochrane Collegiate Academy,45.2
600344,Collinswood Language Academy,93.5
600345,Community House Middle,89.1
600346,Cornelius Elementary,84.2
600349,Cotswold IB Elementary,88.7
600351,Coulwood STEM Academy,60.9
600352,Crown Point Elementary,77.3
600353,Crestdale Middle,86.8
600357,Davidson Elementary,89
600361,Butler High,74.5
600362,David Cox Road Elementary,70
600364,Military and Global Leadership Academy,N/A
600365,Devonshire Elementary,N/A
600366,Marie G Davis,N/A
600367,Dilworth Elementary School Latta Campus,>95
600368,First Ward Creative Arts Acad,N/A
600369,Berewick Elementary,66.4
600374,Druid Hills Academy,N/A
600377,East Mecklenburg High,82.5
600379,Eastover Elementary,84.8
600381,Eastway Middle,47.6
600382,Elizabeth Lane Elem,87.1
600383,Elon Park Elementary,81.3
600384,Elizabeth Traditional Elem,80.2
600385,Endhaven Elementary,82
600386,Hawthorne Academy of Health Sciences,N/A
600392,Polo Ridge Elementary,86.1
600394,Francis Bradley Middle,82.8
600398,Greenway Park Elementary,67.6
600399,Alexander Graham Middle,88.9
600404,Harper Middle College High,N/A
600405,Harding University High,N/A
600406,Hawk Ridge Elementary,87.2
600408,Lawrence Orr Elementary,N/A
600409,Parkside Elementary,90.6
600410,Hickory Grove Elementary,N/A
600411,Highland Creek Elementary,80.6
600412,Hidden Valley Elementary,N/A
600413,Highland Mill Montessori,>95
600414,Highland Renaissance Academy,N/A
600415,Hopewell High,76.8
600416,Hornets Nest Elementary,N/A
600418,Croft Community Elementary,78.4
600420,Huntersville Elementary,90.8
600422,Huntingtowne Farms Elementary,90.3
600424,Idlewild Elementary,84.2
600426,Independence High,80.8
600428,James Martin Middle,37.5
600429,Governors Village STEM Academy (Upper),70.4
600431,Jay M Robinson Middle,91
600432,Joseph W Grier Academy,58.3
600433,J.V. Washam Elementary,82.1
600434,Kennedy Middle,74.5
600435,Trillium Springs Montessori,81.3
600436,Lake Wylie Elementary,83.1
600437,Ballantyne Elementary,81.7
600438,Lansdowne Elementary,72
600439,Turning Point Academy,N/A
600440,Lebanon Road Elementary,66.3
600442,Blythe Elementary,80.3
600443,Levine Middle College High,N/A
600444,Long Creek Elementary,68.2
600445,Mallard Creek High,80.3
600446,Mallard Creek Elementary,80.8
600447,Matthews Elementary,75.3
600448,Martin Luther King Jr Middle,50
600449,McAlpine Elementary,81.8
600450,McClintock Middle,75.4
600451,McKee Road Elementary,87.4
600453,Merry Oaks International Academy,N/A
600454,Metro School,N/A
600455,Mint Hill Middle,83.8
600459,Montclaire Elementary,N/A
600461,Lincoln Heights Academy,N/A
600462,Mountain Island Lake Academy,72
600463,River Oaks Academy,57.1
600464,Myers Park Traditional,94.3
600466,Myers Park High,90.2
600468,Governors Village STEM Academy (Lower),N/A
600471,Nations Ford Elementary,N/A
600474,Newell Elementary,60
600475,Vaughan Academy of Technology,63.3
600478,J H Gunn Elementary,46.2
600479,Northeast Middle,64
600480,North Mecklenburg High,73.9
600481,Northridge Middle,64.7
600482,Northwest School of the Arts,90.3
600484,Oakhurst STEAM Academy,77.4
600485,Oakdale Elementary,N/A
600488,Oaklawn Language Academy,N/A
600489,Bruns Avenue Elementary,N/A
600490,Olympic High,76.4
600491,Olde Providence Elementary,86.2
600492,Park Road Montessori,83.2
600493,Palisades Park Elementary,89.5
600494,Paw Creek Elementary,53
600496,Phillip O Berry Academy of Technology,88.4
600497,Piedmont IB Middle,>95
600498,Performance Learning Center,N/A
600499,Charlotte-Mecklenburg Virtual HS,74.5
600500,Pineville Elementary,77
600501,Pinewood Elementary,N/A
600503,Piney Grove Elementary,62.9
600507,Providence Spring Elementary,92.8
600508,Providence High,92.2
600509,Quail Hollow Middle,80.9
600512,Rama Road Elementary,79.5
600513,Randolph Middle,>95
600514,Ranson Middle,44.7
600515,Renaissance West STEAM Academy,N/A
600516,Reedy Creek Elementary,67.6
600517,Reid Park Academy,N/A
600518,Ridge Road Middle,78.8
600519,Dilworth Elementary School Sedgefield C,N/A
600520,Sedgefield Middle,40.9
600521,Stoney Creek Elementary,70.7
600522,Selwyn Elementary,90.3
600527,Shamrock Gardens Elementary,89.7
600530,Sharon Elementary,84.6
600532,Waddell Language Academy,91
600534,Smithfield Elementary,84.5
600535,South Mecklenburg High,86.8
600537,South Charlotte Middle,90.2
600538,Southwest Middle School,74.2
600545,Starmount Acad of Excellence,N/A
600546,Statesville Road Elementary,N/A
600549,Steele Creek Elementary,76.1
600550,Sterling Elementary,N/A
600553,Thomasboro Academy,N/A
600557,Torrence Creek Elementary,82.3
600558,Grand Oak Elementary,86.7
600562,Tuckaseegee Elementary,66.7
600565,University Park Creative Arts,N/A
600566,University Meadows Elementary,N/A
600567,Charlotte Engineering Early College-UNCC,89.5
600569,Charlotte Teacher Early College,N/A
600571,Irwin Academic Center,>95
600574,Walter G Byers School,N/A
600576,West Charlotte High,N/A
600577,Westerly Hills Academy,N/A
600579,West Mecklenburg High,N/A
600582,J T Williams Secondary Montessori,79.4
600583,Wilson STEM Academy,N/A
600586,Winding Springs Elementary,N/A
600587,Windsor Park Elementary,73.3
600588,Winget Park Elementary,84.4
600589,Winterfield Elementary,N/A
600590,River Gate Elementary,74
600592,Vance High,N/A
600593,Villa Heights Elementary,N/A
600594,Merancas Middle College High,N/A
610302,Bowman Middle,51.3
610310,Deyton Elementary,68.8
610320,Gouge Elementary,53.7
610322,Greenlee Primary,N/A
610326,Harris Middle,61.6
610332,Mayland Early College,94.4
610334,Mitchell High,45.4
620310,Montgomery Learning Academy,N/A
620312,Candor Elementary,47.8
620314,East Middle,56.9
620316,East Montgomery High,39.6
620318,Green Ridge Elementary,62.5
620324,Mount Gilead Elementary,68.5
620330,Page Street Elementary,58.6
620334,Star Elementary,52.4
620336,Troy Elementary,N/A
620339,West Middle,53.6
620340,West Montgomery High,58
620350,Montgomery County Early College,94.7
630304,Aberdeen Primary,N/A
630308,Aberdeen Elementary,45.3
630312,Cameron Elementary,65.3
630316,Carthage Elementary,69
630317,Crain's Creek Middle,62.8
630320,Elise Middle,52.8
630324,Sandhills Farm Life Elementary,68.4
630328,Highfalls Elementary,65.7
630330,The Community Learning Center @ Pinckney,N/A
630331,New Century Middle,69
630332,North Moore High,59.5
630336,Pinecrest High,74.5
630342,Pinehurst Elementary,82.2
630348,Robbins Elementary,35.3
630350,Southern Middle,62.6
630352,Southern Pines Primary,N/A
630356,Southern Pines Elementary,78.7
630360,Union Pines High,69.2
630364,Vass-Lakeview Elementary,68.1
630368,West End Elementary,84.7
630373,West Pine Elementary,85.6
630374,West Pine Middle,77.1
630376,Westmoore Elementary,56.8
640302,Fairview Elementary,N/A
640304,Bailey Elementary,65.2
640306,Baskerville Elementary,N/A
640308,Benvenue Elementary,51.4
640316,Cedar Grove Elementary,66.7
640320,Nash Central Middle,57.3
640324,Coopers Elementary,74.1
640326,D S Johnson Elementary,N/A
640328,Englewood Elementary,71
640329,G R Edwards Middle,72.5
640332,M B Hubbard Elementary,56.5
640334,J W Parker Middle,N/A
640335,Rocky Mount Middle,45.7
640336,Middlesex Elementary,41.7
640340,Tar River Academy,N/A
640342,CITI High School,N/A
640346,Nash Central High,46.2
640347,NRM Early College High School,90.4
640348,Nashville Elementary,73
640350,Northern Nash High,49.2
640358,Red Oak Middle,59.9
640360,Red Oak Elementary,N/A
640361,Rocky Mount High,54.9
640362,Southern Nash Middle,57.9
640364,Southern Nash High,46.6
640376,Spring Hope Elementary,39.9
640384,Swift Creek Elementary,65.5
640396,Williford Elementary,N/A
640400,Winstead Avenue Elementary,N/A
650304,Bradley Creek Elementary,82.4
650308,Carolina Beach Elementary,77.1
650309,Castle Hayne Elementary,66.6
650310,Charles P Murray Middle,81.8
650312,R Freeman Sch of Engineering,N/A
650316,College Park Elementary,62.2
650323,Edwin A Anderson Elementary,71
650324,Edwin A Alderman Elementary,68.8
650325,Emma B Trask Middle,74.1
650326,Emsley A Laney High,74.4
650327,Eugene Ashley High,54.9
650328,Forest Hills Global Elementary,59
650332,The International School at Gregory,80.7
650338,Heyward C Bellamy Elem,81.6
650339,Holly Tree Elementary,85.7
650340,Isaac M Bear Early College High School,>95
650341,John J Blair Elementary,78.4
650342,John T Hoggard High,77.7
650343,Holly Shelter Middle,71.3
650345,Lake Forest Academy,N/A
650346,Mary C Williams Elementary,70.3
650348,Murrayville Elementary,76.1
650350,M C S Noble Middle,86.1
650351,Myrtle Grove Middle,74.6
650352,New Hanover High,67
650353,Dr Hubert Eaton Sr Elem,80.3
650354,J. C. Roe Center,N/A
650355,Career Readiness Academy at Mosley PLC,N/A
650356,Ogden Elementary,91.8
650362,Pine Valley Elementary,76.7
650364,Roland-Grise Middle,78.3
650366,Dr John Codington Elem,85.6
650368,Sunset Park Elementary,59.1
650380,Walter L Parsley Elementary,93
650384,A H Snipes Academy of Arts/Des,57.9
650392,Williston Middle,61.7
650394,Wilmington Early College High,91.4
650395,SEA-Tech,84
650400,Winter Park Model Elementary,73
650404,Wrightsboro Elementary,48.1
650408,Wrightsville Beach Elem,93.2
650420,College Road Early Childhood Center,N/A
660306,Central Elementary,N/A
660308,Conway Middle,31.5
660320,Gaston Elementary,N/A
660325,Gaston Middle,26.7
660336,Northampton County High School,N/A
660360,Willis Hare Elementary,N/A
660400,Northampton Early College,N/A
670300,Onslow Early College,>95
670304,Bell Fork Elementary,61.6
670308,Blue Creek Elementary,53.8
670310,Carolina Forest Elementary,71.6
670312,Clyde Erwin Elementary,49
670314,Dixon Elementary,76
670318,Dixon Middle,60.6
670320,Dixon High,64.9
670321,Hunters Creek Elementary,52.6
670322,Hunters Creek Middle,51.4
670323,Jacksonville Commons Elem,64.3
670324,Jacksonville High,60.5
670325,Jacksonville Commons Middle,55.6
670329,Meadow View Elementary,55.9
670330,Morton Elementary,55.5
670331,New Bridge Middle,78.5
670332,Northwoods Elementary,59.3
670333,Northside High,58.3
670335,Queens Creek Elementary,71.4
670336,Northwoods Park Middle,62.2
670337,Heritage Elementary School,54
670338,Parkwood Elementary,74.7
