code,name,eog_score_white
110444,Woodfin Elementary,66.1
110450,Koontz Intermediate,73
110451,Eblen Intermediate,63.4
110500,Nesbitt Discovery Academy,>95
111302,Asheville High,75
111304,Hall Fletcher Elementary,70.4
111306,Isaac Dickson Elementary,89.4
111307,Asheville Primary,N/A
111312,Claxton Elementary,80.3
111332,Ira B Jones Elementary,84.3
111356,Asheville Middle,77.1
111360,Vance Elementary,83.7
111369,Montford North Star Academy,86.6
111700,School of Inquiry and Life Sciences,86.9
120308,Hallyburton Academy,N/A
120310,Burke Middle College,N/A
120312,Drexel Elementary,74.7
120314,East Burke High,64.5
120315,East Burke Middle,63.1
120316,Forest Hill Elementary,71.6
120318,Freedom High,65.2
120320,George Hildebrand Elementary,64.3
120324,Glen Alpine Elementary,63.3
120334,Heritage Middle,68.5
120338,Hildebran Elementary,62.1
120340,Hillcrest Elementary,64.3
120344,Icard Elementary,69.6
120346,Jimmy C Draughn High School,64.4
120350,Liberty Middle,66.1
120352,North Liberty,N/A
120354,Mountain View Elementary,54.9
120360,Mull Elementary,59
120364,Oak Hill Elementary,62.6
120368,Ray Childers Elementary,65.3
120370,Robert L. Patton High School,73.5
120374,Salem Elementary,70.1
120376,Table Rock Middle,62.9
120380,Valdese Elementary,73.7
120386,W A Young Elementary,52.5
120390,Walter R Johnson Middle,67.9
130304,A T Allen Elementary,68.7
130307,Cox Mill High School,83.6
130308,Bethel Elementary,65.4
130309,Beverly Hills Elementary,75.6
130310,Central Cabarrus High,68.3
130311,Coltrane-Webb Elementary,74.2
130312,Harrisburg Elementary,83
130313,Concord Middle,57.8
130314,Concord High,73.7
130315,J N Fries Magnet School,84.2
130316,Jay M Robinson High,70.7
130317,Cabarrus Co Opportunity School,N/A
130318,C C Griffin Middle,66.2
130319,Cox Mill Elementary,88.3
130320,Harris Road Middle,84.7
130321,Carl A Furr Elementary,74.8
130322,Mount Pleasant Elementary,65.5
130323,Mount Pleasant Middle,69.3
130324,Mount Pleasant High,58.6
130325,Charles E Boger Elementary,71
130326,Northwest Cabarrus High,78.8
130327,Northwest Cabarrus Middle,68.3
130328,Royal Oaks Elementary,54.8
130329,Rocky River Elementary,53.3
130330,R Brown McAllister Elementary,77.8
130331,Pitts School Road Elementary,67.9
130332,Hickory Ridge High,74.7
130333,Performance Learning Center,N/A
130336,W R Odell Primary,N/A
130337,W R Odell Elementary,83.3
130338,Weddington Hills Elementary,82.6
130340,Winecoff Elementary,63.9
130342,W M Irvin Elementary,58
130344,Wolf Meadow Elementary,55.9
130345,Patriots Elementary,75.7
130346,Hickory Ridge Middle,84.2
130349,Cabarrus Early College of Technology,81.8
130350,Cabarrus-Kannapolis Early Coll,89.7
130355,Harold E. Winkler Middle,78.8
132304,A L Brown High,54.4
132308,Forest Park Elementary,60.1
132312,Fred L Wilson Elementary,55.3
132314,GW Carver Elementary,54.8
132328,Jackson Park Elementary,62.4
132330,Kannapolis Middle,59.4
132332,Shady Brook Elementary,60.6
132336,Woodrow Wilson Elementary,58.5
140304,Baton Elementary,65
140305,Caldwell Career Cen Mid. Coll.,78.5
140306,Gateway School,N/A
140307,Horizons Elementary,N/A
140308,Collettsville School,69.2
140309,Caldwell Early College,94.7
140312,Davenport A+ School,73.4
140316,Dudley Shoals Elementary,58.6
140324,Gamewell Elementary,54.5
140332,Gamewell Middle,50.4
140336,Granite Falls Middle,60.6
140340,Granite Falls Elementary,71.1
140344,Happy Valley Elementary,54
140348,Hibriten High,64.3
140352,Hudson Elementary,65.1
140356,Hudson Middle,63.9
140360,Kings Creek Elementary,63.3
140368,William Lenoir Middle,60.3
140372,Lower Creek Elementary,70.7
