code,name,eog_score_latino
110436,West Buncombe Elementary,46.8
110444,Woodfin Elementary,N/A
110450,Koontz Intermediate,40.5
110451,Eblen Intermediate,48.3
110500,Nesbitt Discovery Academy,N/A
111304,Hall Fletcher Elementary,45.2
111306,Isaac Dickson Elementary,81
111307,Asheville Primary,N/A
111312,Claxton Elementary,52.2
111332,Ira B Jones Elementary,N/A
111356,Asheville Middle,48.4
111360,Vance Elementary,46.2
111369,Montford North Star Academy,N/A
111700,School of Inquiry and Life Sciences,N/A
120308,Hallyburton Academy,N/A
120310,Burke Middle College,N/A
120312,Drexel Elementary,60.9
120314,East Burke High,N/A
120315,East Burke Middle,58.2
120316,Forest Hill Elementary,45.7
120318,Freedom High,54.4
120320,George Hildebrand Elementary,N/A
120324,Glen Alpine Elementary,64.7
120334,Heritage Middle,63
120338,Hildebran Elementary,N/A
120340,Hillcrest Elementary,45.6
120344,Icard Elementary,66.7
120346,Jimmy C Draughn High School,N/A
120350,Liberty Middle,52.2
120352,North Liberty,N/A
120354,Mountain View Elementary,41.1
120360,Mull Elementary,N/A
120364,Oak Hill Elementary,N/A
120368,Ray Childers Elementary,40.9
120370,Robert L. Patton High School,55.4
120374,Salem Elementary,N/A
120376,Table Rock Middle,46.3
120380,Valdese Elementary,60
120386,W A Young Elementary,N/A
120390,Walter R Johnson Middle,48.3
130304,A T Allen Elementary,54.1
130307,Cox Mill High School,68.7
130308,Bethel Elementary,52.2
130309,Beverly Hills Elementary,44.5
130310,Central Cabarrus High,50.9
130311,Coltrane-Webb Elementary,39
130312,Harrisburg Elementary,63
130313,Concord Middle,26.8
130314,Concord High,40
130315,J N Fries Magnet School,55.9
130316,Jay M Robinson High,31.8
130317,Cabarrus Co Opportunity School,N/A
130318,C C Griffin Middle,42.4
130319,Cox Mill Elementary,78.2
130320,Harris Road Middle,72.9
130321,Carl A Furr Elementary,54.5
130322,Mount Pleasant Elementary,57.5
130323,Mount Pleasant Middle,63.8
130325,Charles E Boger Elementary,57.7
130326,Northwest Cabarrus High,65
130324,Mount Pleasant High,40
130327,Northwest Cabarrus Middle,51.9
130328,Royal Oaks Elementary,28.2
130329,Rocky River Elementary,34.9
130330,R Brown McAllister Elementary,45.5
130331,Pitts School Road Elementary,53.7
130332,Hickory Ridge High,52.2
130333,Performance Learning Center,N/A
130336,W R Odell Primary,N/A
130337,W R Odell Elementary,70.8
130338,Weddington Hills Elementary,47.3
130340,Winecoff Elementary,38.3
130342,W M Irvin Elementary,34.8
130344,Wolf Meadow Elementary,47.1
130345,Patriots Elementary,53.9
130346,Hickory Ridge Middle,72.8
130349,Cabarrus Early College of Technology,N/A
130350,Cabarrus-Kannapolis Early Coll,87.5
130355,Harold E. Winkler Middle,52.8
140348,Hibriten High,46.6
140386,South Caldwell High,38.2
132308,Forest Park Elementary,58.1
132312,Fred L Wilson Elementary,49.2
132314,GW Carver Elementary,42.5
132328,Jackson Park Elementary,42.6
132330,Kannapolis Middle,38
132332,Shady Brook Elementary,35.9
132336,Woodrow Wilson Elementary,45.8
140304,Baton Elementary,N/A
140305,Caldwell Career Cen Mid. Coll.,N/A
140306,Gateway School,N/A
140307,Horizons Elementary,N/A
140308,Collettsville School,N/A
140309,Caldwell Early College,N/A
140312,Davenport A+ School,47.4
140316,Dudley Shoals Elementary,N/A
140324,Gamewell Elementary,31.8
140332,Gamewell Middle,42.1
140336,Granite Falls Middle,53.3
140340,Granite Falls Elementary,63.5
140344,Happy Valley Elementary,N/A
140352,Hudson Elementary,67.7
140356,Hudson Middle,57.3
140360,Kings Creek Elementary,N/A
140368,William Lenoir Middle,55
140372,Lower Creek Elementary,N/A
140376,Oak Hill Elementary,N/A
140384,Sawmills Elementary,N/A
140388,Valmead Elementary,N/A
140390,West Caldwell High,41.5
140392,West Lenoir Elementary,23.1
140396,Whitnel Elementary,42
150304,Camden County High,N/A
170316,Bartlett Yancey High,31.4
150308,Grandy Primary,N/A
150310,Camden Intermediate,67.5
150312,Camden Middle,N/A
150350,Camden Early College High,N/A
160304,Atlantic Elementary,N/A
160306,Bogue Sound Elementary,62.5
160308,Beaufort Elementary,59.4
160309,Bridges School,N/A
160310,Beaufort Middle,50
160311,Broad Creek Middle,70.4
160313,East Carteret High,N/A
160314,Croatan High,N/A
160316,Harkers Island Elementary,N/A
160317,Morehead Elem at Camp Glenn,50
160318,Morehead City Middle,50.5
160322,Morehead City Primary,64.7
160324,Newport Elementary,50
160326,Newport Middle,77.4
160332,Down East Middle and Smyrna Elementary,N/A
160343,Marine Sci. & Tech. Early College HS,N/A
160344,West Carteret High,63.8
180308,Bandys High,42.4
160352,White Oak Elementary,61.1
170334,North Elementary,63.9
170338,N L Dillard Middle,34.9
170339,Oakwood Elementary,N/A
170342,South Elementary,N/A
170344,Stoney Creek Elementary,N/A
180302,Harry M Arndt Middle,49.9
180304,Balls Creek Elementary,51.7
180348,Maiden High,35.1
180312,Banoak Elementary,N/A
180316,Blackburn Elementary,53.6
180320,Bunker Hill High,33.9
180323,Catawba Rosenwald Education Center,N/A
180324,Catawba Elementary School,39.7
180325,Challenger Early College High,>95
180326,Charles H Tuttle Elementary,57.7
180332,Claremont Elementary,51.2
180336,Clyde Campbell Elementary,46.7
180340,Fred T Foard High,56.4
180342,Jacobs Fork Middle,52.4
