code,name,eog_score_latino
360390,East Gaston High,70.3
360392,Edward D Sadler Jr Elementary School,39.8
360394,Webb Street School,N/A
360396,Forestview High,60
360400,Gardner Park Elementary,48.4
360408,W P Grier Middle School,45.9
360418,Highland Sch of Technology,N/A
360420,Hawks Nest STEAM Academy,N/A
360426,Holbrook Middle,51.9
360428,Hunter Huss High,47.8
360430,J B Page Primary School,N/A
360431,John Chavis Middle School,63.3
360432,Kiser Elementary,55.2
360436,Bessemer City Middle,51.3
360438,Lingerfeldt Elementary,32.3
360440,Lowell Elementary,44.3
360448,McAdenville Elementary,N/A
360456,Mount Holly Middle,52.5
360464,New Hope Elementary,N/A
360468,North Belmont Elementary,47.8
360470,North Gaston High,47.7
360478,Pinewood Elementary,60.5
360480,Pleasant Ridge Elementary,42.9
360482,Ida Rankin Elementary School,44.1
360488,Robinson Elementary,68.4
360490,Sherwood Elementary,37.2
360492,H H Beam Elementary,41.6
360494,South Point High,N/A
360498,Southwest Middle,41.7
360499,Springfield Primary,N/A
360500,Stanley Middle,51.7
360504,Tryon Elementary,N/A
360510,W A Bess Elementary School,71.7
360514,W C Friday Middle School,56.2
360520,Woodhill Elementary,33.3
360526,York Chester Middle,57.3
360550,Gaston Virtual Academy,N/A
370304,Buckland Elementary,N/A
370308,Central Middle School,N/A
370312,Gates County Senior High,N/A
370316,Gatesville Elementary,N/A
370324,T S Cooper Elementary,N/A
380306,Robbinsville Elementary,N/A
380308,Robbinsville High,N/A
380310,Robbinsville Middle,N/A
390309,Butner-Stem Middle,41.6
390311,Butner-Stem Elementary,39.3
390312,C. G. Credle Elementary,52.3
390314,Phoenix Academy,N/A
390316,Creedmoor Elementary,42.1
390320,G. C. Hawley Middle,48
390321,Granville Academy,N/A
390322,Granville Central High,37.6
340330,Carver High,26.8
390323,Granville Early College High,90
390331,Mary Potter Middle,37.5
390333,Mount Energy Elementary,70
390334,Northern Granville Middle,22
390336,Joe Toler-Oak Hill Elementary,N/A
390352,South Granville High,53.1
390360,Stovall-Shaw Elementary,37.5
390362,Tar River Elementary,48.2
390364,West Oxford Elementary,28.9
390368,Wilton Elementary,62.5
390700,JF Webb HS Of Health And Life Sciences,N/A
340382,Robert B Glenn High School,33.7
400308,Greene Central High,36.9
400312,Greene County Middle,41.8
400315,Greene Early College High,93.3
400318,Greene County Intermediate,40.1
400321,Snow Hill Primary,N/A
400332,West Greene Elementary,43.9
410304,Alamance Elementary,75
410307,Edwin A Alderman Elementary,50
410310,Allen Jay Elementary,49.1
410311,Allen Jay Middle - A Preparatory Academy,53.4
410313,Southern Guilford Middle,46.1
410316,Allen Middle,39
410322,Archer Elementary,54.3
410325,Swann Middle School,52.5
410326,Middle College High at Bennett,N/A
410328,Bessemer Elementary,36.3
410331,Bluford Elementary,33.3
410334,Brightwood Elementary,36.8
410337,Brooks Global Elementary,N/A
410340,Monticello-Brown Summit Elem,37.5
410341,Brown Summit Middle,>95
410343,Claxton Elementary,76.2
410346,Colfax Elementary,73.7
410349,Ceasar Cone Elementary,37.1
410355,James B Dudley High,44.2
340460,North Forsyth High,32.9
410358,Eastern Guilford High,31.4
410361,Erwin Montessori,65.6
410364,Fairview Elementary,39.8
410366,Waldo C Falkener Sr Elementary,43
410367,Ferndale Middle,30.7
410370,Florence Elementary,58.8
410373,Julius I Foust Elementary,42.7
410376,Cyrus P Frazier Elementary,50
410379,Gateway Education Center,N/A
410382,Gibsonville Elementary,56.9
410385,Gillespie Park Elementary,28.1
410388,General Greene Elementary,75
410390,GC Middle College High,N/A
410391,Penn-Griffin Schools,57.5
410394,Grimsley High,71.4
340486,Parkland High,32.4
410395,Early College at Guilford,N/A
410397,Western Guilford Middle,44.5
410398,Doris Henderson Newcomers Sch,N/A
410399,Middle College at GTCC-Greensboro,N/A
410400,Guilford Elementary,69
410401,GTCC Middle College High,N/A
410402,Otis L Hairston Sr Middle,39.7
410403,Hampton Elem Univ Partnership,N/A
410406,High Point Central High,41.7
410407,Kearns Academy,N/A
410408,Middle College at GTCC-High Point,N/A
410409,Hunter Elementary,53.6
410412,Irving Park Elementary,45.5
410415,Jackson Middle,39.1
410418,Jamestown Elementary,65.9
410421,Jamestown Middle,49.5
410423,Jefferson Elementary,54.2
410424,Jesse Wharton Elem,69
410427,Johnson Street Global Studies,44.2
410430,David D Jones Elementary,71.3
410436,James Y Joyner Elementary,50
410437,Kernodle Middle,72.5
410439,Kirkman Park Elementary,33.8
410442,Kiser Middle,54.2
410448,Lincoln Academy,63.2
410451,John Van Lindley Elementary,36.1
410454,Madison Elementary,N/A
410457,Herbin Metz Education Center,N/A
410458,C Joyner Greene Education Center,N/A
410460,Eastern Guilford Middle,33.7
410461,McLeansville Elementary,46.4
410462,Ronald E. McNair Elementary,37.5
410463,Mendenhall Middle,50.8
410464,Haynes Inman Education Center,N/A
410466,Millis Road Elementary,72.4
410469,Montlieu Academy of Technology,52.5
410472,Morehead Elementary,60.2
410478,Murphey Traditional Academy,33.3
410481,Nathanael Greene Elementary,N/A
410483,Middle College at NC A&T,N/A
410484,Northeast Guilford High,39.2
410486,Northern Guilford Elementary,78.8
410487,Northeast Guilford Middle,47.4
410488,Northern Guilford Middle,66.7
410490,Northwest Guilford High,65.4
410491,EP Pearce Elementary,70
410493,Northwest Guilford Middle,61.7
410496,Northwood Elementary,37.1
410499,Oak Hill Elementary,54.2
410502,Oak Ridge Elementary,58.6
410505,Oak View Elementary,45.8
410508,Page High,46.8
410511,Parkview Village Elementary,48.5
410514,Clara J Peck Elementary,30.6
410517,Peeler Open Elementary,33.3
410522,Pilot Elementary,38.9
410523,Pleasant Garden Elementary,42.1
410529,Lucy Ragsdale High,50.4
350336,Louisburg High,45.5
410530,Reedy Fork Elementary,39.1
410532,Rankin Elementary,37
410533,SCALE School,N/A
410534,Pruette SCALE Academy,N/A
410535,Sedalia Elementary,46.4
410538,Sedgefield Elementary,35.6
410541,Shadybrook Elementary,54.1
410542,George C Simkins Jr Elementary,45.5
360336,Bessemer City High,25
410545,Academy at Smith,65.6
360378,Stuart W Cramer High,42.3
410550,Southeast Guilford Middle,51.5
410553,Southern Elementary,48.9
410556,Southern Guilford High,28.3
410559,Southwest Elementary,76.9
410562,Southwest Guilford High,54.7
410565,Southwest Guilford Middle,52.2
410568,Sternberger Elementary,N/A
410569,STEM Early College @ NC A&T SU,N/A
410571,Stokesdale Elementary,61.5
410574,Summerfield Elementary,62.8
410577,Sumner Elementary,44.2
410578,Triangle Lake Montessori Elem,64.7
410579,UNCG Early/Middle College,N/A
410580,Union Hill Elementary,55
410583,Vandalia Elementary,35.3
410586,Washington Elementary,N/A
410589,Philip J Weaver Ed Center,N/A
410592,Welborn Middle,35.9
410595,Western Guilford High,39.4
410598,Wiley Accel/Enrichment,33.3
420304,Aurelian Springs Institute of Global Lea,N/A
420316,Scotland Neck Elementary Leadership Acad,N/A
420324,Enfield Middle S.T.E.A.M. Academy,26.5
420328,Everetts Elementary S.T.E.M. Academy,N/A
420336,Hollister Elementary Leadership Academy,N/A
420340,Inborden Elementary S.T.E.A.M. Academy,N/A
420346,Northwest Halifax Collegiate and Technic,N/A
420348,Pittman Elementary Leadership Academy,N/A
420358,Southeast Halifax Collegiate Prep Academ,N/A
390324,J. F. Webb High,36.1
420376,William R Davie Middle S.T.E.M. Academy,N/A
421304,Belmont Elementary School,30
421306,Chaloner Middle School,39.1
421316,Roanoke Rapids High School,N/A
421328,Manning Elementary School,45.2
421336,Roanoke Rapids Early College High,N/A
422310,Roanoke Valley Early College,N/A
422314,Weldon Elementary Global Academy,N/A
422315,Weldon STEM High School Career Academies,N/A
422318,Weldon Middle,N/A
430304,Anderson Creek Primary,N/A
430308,Angier Elementary,35.9
430312,Benhaven Elementary,72.7
430316,Boone Trail Elementary,37.9
430320,Buies Creek Elementary,N/A
430328,Coats Elementary,44.5
430330,Coats-Erwin Middle,53.1
430332,Dunn Middle,38.2
430336,Erwin Elementary,36.7
430340,Gentry Primary,N/A
430341,Harnett Early College (HCEC),N/A
430344,Harnett Primary,N/A
430345,STAR Academy,N/A
430346,Harnett Central High,34.5
430347,Harnett Central Middle,37.1
430348,Johnsonville Elementary,53
430349,Highland Elementary,64.9
430351,Highland Middle,45.4
430352,LaFayette Elementary,61.5
430358,Lillington-Shawtown Elementary,53.3
430368,North Harnett Primary,N/A
430369,Overhills Elementary,63.3
430370,Overhills Middle,60.9
430371,Overhills High,51.1
410319,T Wingate Andrews High,32.5
430376,South Harnett Elementary,43.2
430378,Triton High,35.2
430380,Wayne Avenue Elem,35.6
430384,Western Harnett High,48.6
430386,Western Harnett Middle,52.1
440314,Bethel Elementary,N/A
440318,Bethel Middle,63.3
440320,Canton Middle,49.2
440326,Central Haywood High,N/A
440328,Clyde Elementary,71.7
440332,Riverbend Elementary,N/A
440346,Haywood Early College,N/A
440348,Hazelwood Elementary,36.8
440349,Jonathan Valley Elementary,N/A
440350,Junaluska Elementary,61.4
440364,Meadowbrook Elementary,50
440368,North Canton Elementary,N/A
440378,Pisgah High,64.5
440396,Waynesville Middle,42.6
450301,Apple Valley Middle,47.8
450302,Atkinson Elementary,N/A
450306,Bruce Drysdale Elementary,43.1
450307,Clear Creek Elementary,64.4
450308,Dana Elementary,44.9
450316,East Henderson High,44.7
450322,Edneyville Elementary,59.5
450324,Etowah Elementary,66.2
450328,Flat Rock Middle,50.6
450332,Fletcher Elementary,67.6
450333,Hendersonville Elementary,N/A
450334,Hendersonville High,47.9
450335,Hendersonville Middle,56.8
450336,Hillandale Elementary,47.2
450339,Glenn C Marlow Elementary,79.2
450340,Mills River Elementary,52.5
450341,North Henderson High,62.7
450342,Rugby Middle,64.2
450343,Henderson County Career Academy,N/A
450344,Sugarloaf Elementary,47.2
450346,Upward Elementary,44.5
450352,West Henderson High,55.2
450354,Henderson County Early College,94.1
460308,Ahoskie Elementary,N/A
460312,Bearfield Primary,N/A
460318,Hertford County Middle,27.5
460320,Hertford County High,N/A
460322,Hertford Co Early College,N/A
460332,Riverview Elementary,55
460340,CS Brown High,N/A
470310,Don D Steed Elementary,63.7
470312,Hoke County High,51.9
410489,Northern Guilford High,46.8
470316,J W McLauchlin Elementary,45.3
470320,West Hoke Middle,54
470328,Scurlock Elementary,38.1
470330,Hawk Eye Elementary,39.5
470332,East Hoke Middle,43.9
470336,West Hoke Elementary,62.5
470340,Rockfish Hoke Elementary,70
470342,J W Turlington School,N/A
470346,Upchurch Elementary,62.4
470441,Sandy Grove Elementary,38.8
470442,Sandy Grove Middle,52.1
470443,SandHoke Early College High,75.8
480306,Mattamuskeet Elementary,36.8
480316,Ocracoke School,66.7
480318,Mattamuskeet Early College High,N/A
490307,Agriculture and Science Early College,N/A
490308,Brawley Middle,63.9
490310,Career Academy and Technical School,N/A
490312,Celeste Henkel Elementary,44.7
490316,Central Elementary,N/A
490318,Coddle Creek Elementary,53.6
490319,Cloverleaf Elementary,40.5
490320,Collaborative College for Technology,N/A
490324,Cool Spring Elementary,56.3
490326,East Iredell Elementary,48.4
490327,East Iredell Middle,37.2
490332,Harmony Elementary,62.8
490335,Lake Norman High,52.1
490336,Lake Norman Elementary,71.4
490337,Lakeshore Elementary,54.3
490338,Lakeshore Middle,62.9
490344,Mount Mourne School,>95
490345,N B Mills Elementary,35.3
490347,Northview School,93
490348,Scotts Elementary,60.6
490349,North Iredell Middle,44.8
490350,Pressly School,N/A
490352,Statesville Middle,26.4
410544,Ben L. Smith High School,25.7
490355,Crossroads Arts Sciences Early College,N/A
490356,Sharon Elementary,N/A
490360,Shepherd Elementary,52.9
490362,South Iredell High,37.8
490363,Third Creek Elementary,48.7
490364,Troutman Elementary,40.2
490366,Troutman Middle,36
490368,Union Grove Elementary,35.4
410547,Southeast Guilford High,37
490384,West Iredell Middle,43.9
490390,Woodland Heights Elementary,N/A
491303,East Mooresville Intermediate,57.8
491305,NF Woods Campus,N/A
491306,Mooresville Intermediate,60.8
491308,Mooresville Middle,58.1
491312,Mooresville High School,59.6
491316,Park View Elementary,52.2
491318,Rocky River Elementary,90
491320,South Elementary,58
500302,Blue Ridge Early College,48.6
500304,Cullowhee Valley School,40.7
500314,Fairview Elementary,42.8
500316,Blue Ridge School,38.7
500323,Jackson Co Early College,N/A
500324,Jackson Co Sch of Alternatives,N/A
500332,Scotts Creek Elementary,44.7
500337,Smokey Mountain Elementary,22
500340,Smoky Mountain High School,72.1
510308,Benson Elementary,32.9
510310,Benson Middle,30.1
510324,Clayton High,48.1
510325,Johnston County Schools Career Technical,90.6
510326,West Clayton Elementary,33.8
510327,Cleveland High,43.5
510328,Cleveland Elementary,64
510329,Cleveland Middle,50.4
510330,Cooper Academy,23.9
510332,Corinth-Holders Elementary,34
510333,Corinth Holders High,48
510334,Dixon Road Elementary,50
510336,East Clayton Elementary,55.9
510340,Four Oaks Elementary,41.6
510342,Four Oaks Middle,46.2
510343,Micro Elementary,30.2
510344,North Johnston Middle,25.8
510356,Glendale-Kenly Elementary,46.6
510358,McGee's Crossroads Elem,43.4
510359,McGee's Crossroads Middle,39
510360,Meadow School,42.4
510364,Archer Lodge Middle,40.1
510367,Johnston Co Early College Academy,90.7
510368,North Johnston High,29.7
510372,Pine Level Elementary,34.5
510373,Powhatan Elementary,55.1
510374,Princeton Elementary,38
510376,Princeton High,44.3
510377,River Dell Elementary,48.3
510378,Riverwood Elementary,59.3
510379,Riverwood Middle,50
510382,The Innovation Academy at South Campus,66.3
510388,Selma Elementary,44
510390,Selma Middle School,26.5
510396,West Smithfield Elementary,27
510397,Smithfield Middle,41.1
440390,Tuscola High,47.7
510404,South Smithfield Elementary,32.3
510406,West Johnston High,38.4
510408,Wilson's Mills Elementary,41.3
510410,Polenta Elementary,43.2
510411,Swift Creek Middle,46.9
510412,Clayton Middle,33.9
510414,West View Elementary,51.8
520304,Pollocksville Elementary,N/A
520308,Comfort Elementary,N/A
520320,Jones Senior High,N/A
520324,Jones Middle,70
520328,Maysville Elementary,N/A
520336,Trenton Elementary,N/A
530302,BT Bullock Elementary,57.3
530306,Bragg Street Academy,N/A
530308,Broadway Elementary,50
530312,Deep River Elementary,59.5
530314,East Lee Middle,43.2
530316,Floyd L Knight Children Center,N/A
530320,Greenwood Elementary,52.2
530335,Lee Early College,89.7
530340,J Glenn Edwards Elementary,59.7
530341,SanLee Middle School,53.1
530343,Southern Lee High School,38.3
530346,Tramway Elementary,62.8
530354,J R Ingram Jr Elementary,60.1
530356,West Lee Middle,42.4
530358,Warren Williams Elementary Alternative,N/A
540304,Banks Elementary,41.9
540308,Contentnea-Savannah School,42.6
540312,E B Frink Middle,50
540315,Kinston High,N/A
540316,La Grange Elementary,54.5
540317,Lenoir County Early College High,N/A
540318,Lenoir County Learning Academy,N/A
540320,Moss Hill Elementary,69.8
540324,North Lenoir High,43.5
540325,Northeast Elementary,N/A
540326,Northwest Elementary,N/A
540328,Pink Hill Elementary,54.5
540330,Rochelle Middle,N/A
540336,South Lenoir High,38.5
490346,North Iredell High,23.2
540338,Southeast Elementary,N/A
540340,Southwood Elementary,42.5
540344,Woodington Middle,52.1
550308,Asbury Academy,N/A
550312,Battleground Elementary,41.2
550314,Catawba Springs Elementary,75.9
550316,GE Massey Elementary,58.5
550320,East Lincoln High,N/A
550322,East Lincoln Middle,66.7
550328,Iron Station Elementary,46.9
550330,LCST,N/A
550332,Lincolnton High,52.9
550334,Lincolnton Middle,56
550336,Love Memorial Elementary,N/A
550340,Childers Elementary,38.8
550342,North Brook Elementary,N/A
550344,North Lincoln High,N/A
550348,Pumpkin Center Primary,N/A
550349,Pumpkin Center Intermediate,55
550350,North Lincoln Middle,60.7
550356,Rock Springs Elementary,N/A
550360,S Ray Lowder Elementary,56
550362,St James Elementary,79.4
550364,Union Elementary,N/A
550368,West Lincoln High,54.8
490354,Statesville High,28.7
550372,West Lincoln Middle,55.7
560304,Cartoogechaye Elementary,45.5
560316,East Franklin Elementary,26.5
560320,Franklin High,53.8
560324,Highlands School,62.2
560328,Iotla Valley Elementary,40
560329,Macon Early College High School,N/A
560330,Macon Middle School,55
560331,Mountain View Intermediate,61.5
560332,Nantahala School,N/A
560338,South Macon Elementary,69.2
560350,Union Academy,N/A
570306,Brush Creek Elementary,N/A
570312,Hot Springs Elementary,N/A
570317,Madison Early College High,N/A
570318,Madison High School,N/A
570319,Madison Middle School,56
570320,Mars Hill Elementary,N/A
580308,Williamston Primary,N/A
580312,E J Hayes Elementary,37.5
580316,South Creek Elementary,39.1
580324,Jamesville Elementary,N/A
580344,South Creek Middle/High,28.3
580356,Rodgers Elementary,N/A
580368,Riverside High,N/A
580372,Riverside Middle,53
590306,Eastfield Global Magnet School,42.4
590310,East McDowell Middle School,42.9
590316,Glenwood Elementary School,N/A
590320,Marion Elementary School,56.3
590326,McDowell Academy for Innovation,N/A
490380,West Iredell High,25
590328,McDowell Early College,N/A
590330,McDowell High School,41.9
590332,Nebo Elementary School,N/A
590336,North Cove Elementary School,56.8
590340,Old Fort Elementary School,N/A
590344,Pleasant Gardens Elementary School,25
590352,West Marion Elementary School,40
590356,West McDowell Middle School,46.8
590393,Foothills Community School,44.4
600300,Albemarle Road Elementary,55.2
600301,Albemarle Road Middle,44
600302,Ardrey Kell High,83
600303,Charlotte East Language Academy,41.8
600305,J M Alexander Middle,43.8
600308,Allenbrook Elementary,29.8
600311,Ashley Park PreK-8 School,45.8
600312,William Amos Hough High,67.9
600313,Bailey Middle,76.8
600314,Bain Elementary,69.4
600316,Barringer Academic Center,N/A
600317,Whitewater Middle,48.7
600318,Whitewater Academy,55.9
600319,Berryhill School,50
600322,Beverly Woods Elementary,64.8
600328,Barnette Elementary,56.1
600329,Briarwood Elementary,50.9
600333,Carmel Middle,38.8
600334,Cato Middle College High,N/A
600335,Billingsville Elementary,N/A
600336,Chantilly Montessori,N/A
600338,Clear Creek Elementary,43.5
600341,Cochrane Collegiate Academy,34.5
600344,Collinswood Language Academy,66.7
600345,Community House Middle,68.5
600346,Cornelius Elementary,50
600349,Cotswold IB Elementary,42.1
600351,Coulwood STEM Academy,60.2
600352,Crown Point Elementary,51.8
600353,Crestdale Middle,72.3
600357,Davidson Elementary,48.9
600361,Butler High,60.1
600362,David Cox Road Elementary,36.3
600365,Devonshire Elementary,44.8
600366,Marie G Davis,49.7
600367,Dilworth Elementary School Latta Campus,48.1
600368,First Ward Creative Arts Acad,64.5
600369,Berewick Elementary,56.9
600374,Druid Hills Academy,37
600377,East Mecklenburg High,55.6
600379,Eastover Elementary,N/A
600381,Eastway Middle,34
600382,Elizabeth Lane Elem,58.8
600383,Elon Park Elementary,69.4
600384,Elizabeth Traditional Elem,43.2
600385,Endhaven Elementary,59.5
600392,Polo Ridge Elementary,72.9
600394,Francis Bradley Middle,59.3
600397,Garinger High,35.5
510399,Smithfield-Selma High,35.6
600398,Greenway Park Elementary,51.1
600399,Alexander Graham Middle,49.6
600404,Harper Middle College High,N/A
510402,South Johnston High,28.1
600406,Hawk Ridge Elementary,85
600408,Lawrence Orr Elementary,66.2
600409,Parkside Elementary,61.4
600410,Hickory Grove Elementary,53.7
600411,Highland Creek Elementary,80.8
600412,Hidden Valley Elementary,47.7
600413,Highland Mill Montessori,N/A
600414,Highland Renaissance Academy,40.9
600415,Hopewell High,45.1
600416,Hornets Nest Elementary,55.1
600418,Croft Community Elementary,56.7
600420,Huntersville Elementary,63.2
600422,Huntingtowne Farms Elementary,52.9
600424,Idlewild Elementary,57.2
600426,Independence High,42.4
600428,James Martin Middle,35.8
600429,Governors Village STEM Academy (Upper),53.8
600431,Jay M Robinson Middle,79.2
600432,Joseph W Grier Academy,57.7
600433,J.V. Washam Elementary,68.2
600434,Kennedy Middle,52.7
600435,Trillium Springs Montessori,N/A
600436,Lake Wylie Elementary,47.7
600437,Ballantyne Elementary,80.4
600438,Lansdowne Elementary,35.5
600439,Turning Point Academy,N/A
600440,Lebanon Road Elementary,56.5
600442,Blythe Elementary,46.2
600443,Levine Middle College High,N/A
600444,Long Creek Elementary,56.6
600445,Mallard Creek High,51.8
600446,Mallard Creek Elementary,52.2
600447,Matthews Elementary,58.7
600448,Martin Luther King Jr Middle,42.8
600449,McAlpine Elementary,67.4
600450,McClintock Middle,47.6
600451,McKee Road Elementary,82.1
600453,Merry Oaks International Academy,47.1
600454,Metro School,N/A
600455,Mint Hill Middle,57.2
600457,Rocky River High,43.3
600459,Montclaire Elementary,30.1
600461,Lincoln Heights Academy,N/A
600462,Mountain Island Lake Academy,57.9
600463,River Oaks Academy,63
600464,Myers Park Traditional,67.6
600466,Myers Park High,47.5
132304,A L Brown High,31.3
600468,Governors Village STEM Academy (Lower),53.4
600471,Nations Ford Elementary,45.9
600474,Newell Elementary,50.8
600475,Vaughan Academy of Technology,50
600478,J H Gunn Elementary,41.1
600479,Northeast Middle,48.8
600480,North Mecklenburg High,53.9
600481,Northridge Middle,52.6
600482,Northwest School of the Arts,73.9
600484,Oakhurst STEAM Academy,39.1
600485,Oakdale Elementary,33.9
600488,Oaklawn Language Academy,62.6
600489,Bruns Avenue Elementary,28.3
600490,Olympic High,44.8
530336,Lee County High,31.3
600491,Olde Providence Elementary,61.8
600492,Park Road Montessori,67.5
600493,Palisades Park Elementary,67.4
600494,Paw Creek Elementary,50.5
600496,Phillip O Berry Academy of Technology,62
600497,Piedmont IB Middle,85.1
600498,Performance Learning Center,N/A
600499,Charlotte-Mecklenburg Virtual HS,N/A
600500,Pineville Elementary,55.4
600501,Pinewood Elementary,52.6
600503,Piney Grove Elementary,55.8
600507,Providence Spring Elementary,82.1
600508,Providence High,71.4
600509,Quail Hollow Middle,49.1
600512,Rama Road Elementary,38.6
600513,Randolph Middle,69.4
600514,Ranson Middle,32
600515,Renaissance West STEAM Academy,29.8
600516,Reedy Creek Elementary,61.3
600517,Reid Park Academy,50
600518,Ridge Road Middle,50.9
600519,Dilworth Elementary School Sedgefield C,N/A
600520,Sedgefield Middle,28.8
600521,Stoney Creek Elementary,43.8
600522,Selwyn Elementary,58.8
600527,Shamrock Gardens Elementary,45.6
600530,Sharon Elementary,64.6
600532,Waddell Language Academy,70.6
600534,Smithfield Elementary,44.1
600535,South Mecklenburg High,53
600537,South Charlotte Middle,71.1
600538,Southwest Middle School,44.7
600545,Starmount Acad of Excellence,41.9
600546,Statesville Road Elementary,44.7
600549,Steele Creek Elementary,50.6
600550,Sterling Elementary,38.5
600553,Thomasboro Academy,29.7
600557,Torrence Creek Elementary,41.8
600558,Grand Oak Elementary,67.5
600562,Tuckaseegee Elementary,46.7
600565,University Park Creative Arts,60
600566,University Meadows Elementary,52.9
600567,Charlotte Engineering Early College-UNCC,N/A
600569,Charlotte Teacher Early College,N/A
600571,Irwin Academic Center,89.1
600574,Walter G Byers School,43.5
600577,Westerly Hills Academy,50
600579,West Mecklenburg High,36
600582,J T Williams Secondary Montessori,N/A
600583,Wilson STEM Academy,34.1
600586,Winding Springs Elementary,53.5
600587,Windsor Park Elementary,55.8
600588,Winget Park Elementary,60.4
600589,Winterfield Elementary,42.4
600590,River Gate Elementary,61.8
600593,Villa Heights Elementary,N/A
600594,Merancas Middle College High,N/A
610302,Bowman Middle,N/A
610310,Deyton Elementary,43.2
610320,Gouge Elementary,N/A
610322,Greenlee Primary,N/A
610326,Harris Middle,47.7
610332,Mayland Early College,N/A
610334,Mitchell High,N/A
620310,Montgomery Learning Academy,N/A
620312,Candor Elementary,53.1
620314,East Middle,52.7
620316,East Montgomery High,38.1
620318,Green Ridge Elementary,59.9
620324,Mount Gilead Elementary,N/A
620330,Page Street Elementary,43.2
620334,Star Elementary,54.2
620336,Troy Elementary,N/A
620339,West Middle,48.9
620340,West Montgomery High,N/A
620350,Montgomery County Early College,>95
630304,Aberdeen Primary,N/A
630308,Aberdeen Elementary,38.2
630312,Cameron Elementary,61.4
630316,Carthage Elementary,50
630317,Crain's Creek Middle,46.4
630320,Elise Middle,34.6
630324,Sandhills Farm Life Elementary,N/A
630328,Highfalls Elementary,N/A
630330,The Community Learning Center @ Pinckney,N/A
630331,New Century Middle,55.9
630332,North Moore High,60
630336,Pinecrest High,44.7
630342,Pinehurst Elementary,67.4
630348,Robbins Elementary,28.3
630350,Southern Middle,34
630352,Southern Pines Primary,N/A
630356,Southern Pines Elementary,51.9
630360,Union Pines High,54.9
630364,Vass-Lakeview Elementary,50
630368,West End Elementary,65.5
630373,West Pine Elementary,71.2
630374,West Pine Middle,60
630376,Westmoore Elementary,36.4
640302,Fairview Elementary,N/A
640304,Bailey Elementary,44.3
640306,Baskerville Elementary,N/A
640308,Benvenue Elementary,37.5
640316,Cedar Grove Elementary,N/A
640320,Nash Central Middle,48.8
640324,Coopers Elementary,57.1
640326,D S Johnson Elementary,N/A
640328,Englewood Elementary,26.8
640329,G R Edwards Middle,55
640332,M B Hubbard Elementary,40
640334,J W Parker Middle,N/A
640335,Rocky Mount Middle,N/A
640336,Middlesex Elementary,30.8
640340,Tar River Academy,N/A
640342,CITI High School,N/A
640346,Nash Central High,N/A
640347,NRM Early College High School,N/A
640348,Nashville Elementary,66.7
640358,Red Oak Middle,40.8
640360,Red Oak Elementary,N/A
640361,Rocky Mount High,N/A
640362,Southern Nash Middle,46.1
640364,Southern Nash High,35.3
640376,Spring Hope Elementary,28.3
640384,Swift Creek Elementary,38.6
640396,Williford Elementary,N/A
640400,Winstead Avenue Elementary,N/A
650304,Bradley Creek Elementary,51.7
650308,Carolina Beach Elementary,N/A
650309,Castle Hayne Elementary,50.8
650310,Charles P Murray Middle,61.5
650312,R Freeman Sch of Engineering,N/A
650316,College Park Elementary,40.4
650323,Edwin A Anderson Elementary,35.7
650324,Edwin A Alderman Elementary,47.1
650325,Emma B Trask Middle,59
650326,Emsley A Laney High,56.8
640350,Northern Nash High,35.4
650327,Eugene Ashley High,38.8
650328,Forest Hills Global Elementary,35.2
650332,The International School at Gregory,44.4
650338,Heyward C Bellamy Elem,70
650339,Holly Tree Elementary,72.2
650340,Isaac M Bear Early College High School,N/A
650341,John J Blair Elementary,41.7
650342,John T Hoggard High,62.9
650343,Holly Shelter Middle,51.1
650345,Lake Forest Academy,N/A
650346,Mary C Williams Elementary,52.2
650348,Murrayville Elementary,59.4
650350,M C S Noble Middle,55.2
650351,Myrtle Grove Middle,60.5
650352,New Hanover High,39.5
650353,Dr Hubert Eaton Sr Elem,66.7
650354,J. C. Roe Center,N/A
650355,Career Readiness Academy at Mosley PLC,N/A
650356,Ogden Elementary,N/A
650362,Pine Valley Elementary,37.5
650364,Roland-Grise Middle,43.2
650366,Dr John Codington Elem,72.5
650368,Sunset Park Elementary,50
650380,Walter L Parsley Elementary,80.4
650384,A H Snipes Academy of Arts/Des,N/A
650392,Williston Middle,41.8
650394,Wilmington Early College High,N/A
650395,SEA-Tech,N/A
650400,Winter Park Model Elementary,52.6
650404,Wrightsboro Elementary,38.7
650408,Wrightsville Beach Elem,75
650420,College Road Early Childhood Center,N/A
660306,Central Elementary,N/A
660308,Conway Middle,43.8
660320,Gaston Elementary,N/A
660325,Gaston Middle,N/A
660336,Northampton County High School,N/A
660360,Willis Hare Elementary,N/A
660400,Northampton Early College,N/A
670300,Onslow Early College,N/A
670304,Bell Fork Elementary,53.2
670308,Blue Creek Elementary,39.7
670310,Carolina Forest Elementary,66.7
670312,Clyde Erwin Elementary,26.2
670314,Dixon Elementary,70.3
670318,Dixon Middle,58.6
670320,Dixon High,50
670321,Hunters Creek Elementary,39.7
670322,Hunters Creek Middle,47.2
670323,Jacksonville Commons Elem,48.5
670324,Jacksonville High,49.5
670325,Jacksonville Commons Middle,59.7
670329,Meadow View Elementary,35.5
670330,Morton Elementary,69.4
670331,New Bridge Middle,65.4
670332,Northwoods Elementary,59.3
670333,Northside High,51.5
670335,Queens Creek Elementary,67.3
670336,Northwoods Park Middle,54
