code,name,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
780326,Fairmont Middle,Robeson,Fairmont,"402 Iona St, Fairmont, NC 28340",-79.1177842,34.4979328,Robeson County Schools,Sandhills,Y,89.3,F,Not Met,25,
410364,"Fairview Elementary, High Point",Guilford,High Point,"608 Fairview Street, High Point, NC 27260",-80.0074642,35.947588,Guilford County Schools,Piedmont-Triad,Y,77.2,D,Exceeded,31,
640302,"Fairview Elementary, Rocky Mount",Nash,Rocky Mount,"720 N Fairview Rd, Rocky Mount, NC 27801",-77.776051,35.9388429,Nash-Rocky Mount Schools,North Central,Y,83.8,F,,,
740334,Falkland Elementary,Pitt,Greenville,"503 NC 121, Greenville, NC 27834",-77.486723,35.669671,Pitt County Schools,Northeast,Y,78.7,D,Exceeded,35.1,
320344,Fayetteville Street Elementary,Durham,Durham,"2905 Fayetteville Street, Durham, NC 27707",-78.9055943,35.9643844,Durham Public Schools,North Central,Y,70.3,D,Met,26.6,
260361,Ferguson-Easley Elementary,Cumberland,Fayetteville,"1857 Seabrook Road, Fayetteville, NC 28301",-78.8992413,35.0849912,Cumberland County Schools,Sandhills,Y,90,D,Met,35.8,
410367,Ferndale Middle,Guilford,High Point,"701 Ferndale Boulevard, High Point, NC 27262",-80.019831,35.957043,Guilford County Schools,Piedmont-Triad,Y,59.7,D,Not Met,34.2,
340372,"Flat Rock Middle, Winston-Salem",Forsyth,Winston-Salem,"4648 Ebert Rd, Winston-Salem, NC 27284",-80.303403,36.0089929,Forsyth County Schools,Piedmont-Triad,Y,48,D,Met,42.7,
650328,Forest Hills Global Elementary,New Hanover,Wilmington,"602 Colonial Drive, Wilmington, NC 28403",-77.9140674,34.2304516,New Hanover County Schools,Southeast,Y,81.9,D,Met,36.9,
340376,"Forest Park Elementary, Winston-Salem",Forsyth,Winston Salem,"2019 Milford Street, Winston Salem, NC 27107",-80.2156541,36.0717656,Forsyth County Schools,Piedmont-Triad,Y,71,D,Met,29.4,
920413,Forestville Road Elementary,Wake,Knightdale,"100 Lawson Ridge Road, Knightdale, NC 27545",-78.4815098,35.8098565,Wake County Schools,North Central,Y,60.9,D,Not Met,40.8,
34F000,Forsyth Academy,Forsyth,Winston-Salem,"5426 Shattalon Drive, Winston-Salem, NC 27106",-80.2992777,36.1692078,Charter Schools,Piedmont-Triad,Y,81.9,D,Not Met,46.1,
760324,Franklinville Elementary,Randolph,Franklinville,"162 Pine St, Franklinville, NC 27248",-79.693213,35.747311,Randolph County Schools,Piedmont-Triad,Y,62.9,D,Not Met,50,
640329,G R Edwards Middle,Nash,Rocky Mount,"720 Edwards Street, Rocky Mount, NC 27803",-77.8223572,35.9351871,Nash-Rocky Mount Schools,North Central,Y,50.3,D,Met,40.6,
330304,G W Bulluck Elementary,Edgecombe,Rocky Mount,"3090 Bulluck School Road, Rocky Mount, NC 27801",-77.7196558,35.8826226,Edgecombe County Public School,North Central,Y,60.3,D,Met,41.4,
660320,Gaston Elementary,Northampton,Gaston,"400 Broughton Street, Gaston, NC 27832",-77.6512038,36.507984,Northampton County Schools,Northeast,Y,74.1,D,Met,43.6,
660325,Gaston Middle,Northampton,Gaston,"400 Broughton Street, Gaston, NC 27832",-77.6512038,36.507984,Northampton County Schools,Northeast,Y,69.3,F,Not Met,28.1,
41L000,Gate City Charter,Guilford,Greensboro,"123 Flemingfield Road, Greensboro, NC 27405",-79.710089,36.090168,Charter Schools,Piedmont-Triad,Y,67.2,D,Met,43.6,
430340,Gentry Primary,Harnett,Erwin,"114 Porter Drive, Erwin, NC 28339",-78.6702903,35.3374983,Harnett County Schools,North Central,Y,67.3,D,,,
410542,George C Simkins Jr Elementary,Guilford,Greensboro,"3511 East Lee St, Greensboro, NC 27406",-79.725501,36.044825,Guilford County Schools,Piedmont-Triad,Y,80.3,D,Not Met,46.6,
850312,Germanton Elementary,Stokes,Germanton,"6085 NC 8 Hwy South, Germanton, NC 27019",-80.2343319,36.2974712,Stokes County Schools,Piedmont-Triad,Y,53.2,D,Not Met,44.8,
340380,Gibson Elementary,Forsyth,Winston-Salem,"2020 Walker Road, Winston-Salem, NC 27106",-80.311353,36.186613,Forsyth County Schools,Piedmont-Triad,Y,63.5,D,Exceeded,43.5,
410385,Gillespie Park Elementary,Guilford,Greensboro,"1900 Martin Luther King Jr Drive, Greensboro, NC 27406",-79.7784483,36.0490322,Guilford County Schools,Piedmont-Triad,Y,77.2,D,Met,29,
65G000,Girls Leadership Academy of Wilmington,New Hanover,Wilmington,"606 South College Rd, Wilmington, NC 28403",-77.881522,34.2272489,Charter Schools,Southeast,Y,76.5,D,Not Met,40.3,
